date,ph,avspeedtot,avspeed15,motile,indiv
23.02.2011,8.1,22.14225343,35.30890253,0.56,12
23.02.2011,8.1,24.05456941,33.91618364,0.64,12
23.02.2011,8.1,26.36176739,40.55461905,0.54,12
23.02.2011,8.1,25.29925429,44.75210558,0.5,12
23.02.2011,8.1,28.22263391,43.56036687,0.59,12
23.02.2011,8.1,19.43221346,39.03839136,0.4,12
23.02.2011,8.1,25.11600557,43.28386567,0.5,12
23.02.2011,8.1,23.00993132,42.35115636,0.45,12
23.02.2011,8.1,19.38424752,37.69909915,0.42,12
23.02.2011,8.1,22.43591049,42.96224828,0.43,12
25.02.2011,8.1,12.55901237,36.46645106,0.25,13
25.02.2011,8.1,16.26095997,39.32177855,0.29,13
25.02.2011,8.1,14.43999239,36.0437575,0.27,13
25.02.2011,8.1,14.30534218,40.72160537,0.26,13
25.02.2011,8.1,17.0476037,39.31791379,0.35,13
25.02.2011,8.1,14.42547995,36.1504659,0.26,13
25.02.2011,8.1,13.81979117,35.22977953,0.27,13
25.02.2011,8.1,15.29257457,32.91453304,0.3,13
25.02.2011,8.1,12.4656225,37.68647351,0.22,13
25.02.2011,8.1,19.98950153,40.6309188,0.42,13
02.03.2011,8.1,26.05652121,34.15702778,0.71,14
02.03.2011,8.1,28.01749986,38.59627755,0.66,14
02.03.2011,8.1,33.59007106,39.30646673,0.82,14
02.03.2011,8.1,21.18072323,35.31138842,0.52,14
02.03.2011,8.1,28.88563636,39.67694132,0.69,14
02.03.2011,8.1,24.4690562,38.44075232,0.55,14
02.03.2011,8.1,32.66458373,39.58815707,0.76,14
02.03.2011,8.1,35.90736141,44.96705847,0.77,14
02.03.2011,8.1,25.46957869,37.33231432,0.62,14
02.03.2011,8.1,24.93669543,38.97254419,0.56,14
07.03.2011,8.1,26.21579069,38.41951218,0.61,15
07.03.2011,8.1,18.8071525,36.09792392,0.4,15
07.03.2011,8.1,21.59339853,37.51248371,0.47,15
07.03.2011,8.1,22.01498409,38.14650545,0.5,15
07.03.2011,8.1,19.12009,31.39388857,0.5,15
07.03.2011,8.1,24.88501569,36.18754046,0.63,15
07.03.2011,8.1,25.23624098,37.76297901,0.59,15
07.03.2011,8.1,12.39000542,21.40399935,0.31,15
07.03.2011,8.1,33.91084527,40.97136831,0.79,15
07.03.2011,8.1,30.13818647,41.99163921,0.66,15
08.03.2011,8.1,18.45357447,26.37739908,0.63,16
08.03.2011,8.1,20.3742167,30.90832843,0.56,16
08.03.2011,8.1,24.776132,33.69622983,0.68,16
08.03.2011,8.1,23.93744597,35.13061237,0.61,16
08.03.2011,8.1,24.46734237,34.4847509,0.64,16
08.03.2011,8.1,24.92769585,35.52201763,0.64,16
08.03.2011,8.1,26.25404419,34.75345052,0.69,16
08.03.2011,8.1,19.60035822,30.58712228,0.52,16
08.03.2011,8.1,26.1047323,34.17161912,0.69,16
08.03.2011,8.1,27.95736664,40.95614162,0.62,16
09.03.2011,8.1,22.35374984,33.3965093,0.58,17
09.03.2011,8.1,17.9017,30.65763556,0.48,17
09.03.2011,8.1,25.45557679,37.77044526,0.61,17
09.03.2011,8.1,24.96296158,37.44616071,0.58,17
09.03.2011,8.1,31.47946179,46.29624644,0.63,17
09.03.2011,8.1,31.13000878,43.6779583,0.66,17
09.03.2011,8.1,26.91328687,39.80735095,0.6,17
09.03.2011,8.1,24.03936315,39.03258388,0.55,17
09.03.2011,8.1,25.65208712,39.4871157,0.59,17
09.03.2011,8.1,24.0100871,44.37582348,0.47,17
15.03.2011,8.1,25.09707857,32.4762141,0.72,18
15.03.2011,8.1,27.64817731,34.78419865,0.73,18
15.03.2011,8.1,30.52002595,33.65366712,0.89,18
15.03.2011,8.1,24.84934356,33.78261199,0.67,18
15.03.2011,8.1,28.17134096,37.26646923,0.71,18
15.03.2011,8.1,26.32513768,34.31643234,0.72,18
15.03.2011,8.1,27.79631512,34.69502049,0.76,18
15.03.2011,8.1,28.26028283,35.25891088,0.75,18
15.03.2011,8.1,28.43692511,35.67238183,0.73,18
15.03.2011,8.1,27.08469259,34.46654377,0.73,18
16.03.2011,8.1,19.87699675,31.03556295,0.58,19
16.03.2011,8.1,31.10732737,41.07937692,0.68,19
16.03.2011,8.1,27.76976052,39.03607306,0.64,19
16.03.2011,8.1,28.95113759,33.72647564,0.78,19
16.03.2011,8.1,19.60813645,33.28698688,0.48,19
16.03.2011,8.1,22.61874974,40.63891354,0.47,19
16.03.2011,8.1,25.42563725,42.88036827,0.53,19
16.03.2011,8.1,25.00892998,42.01464233,0.52,19
16.03.2011,8.1,20.73429736,39.42122273,0.44,19
16.03.2011,8.1,23.92489731,40.8728362,0.51,19
07.02.2011,7.8,10.73762673,39.180634,0.17,1
07.02.2011,7.8,11.65496275,29.17508619,0.21,1
07.02.2011,7.8,11.05293556,36.01862182,0.19,1
07.02.2011,7.8,10.22142717,32.54880069,0.19,1
07.02.2011,7.8,12.56797201,36.36512326,0.25,1
07.02.2011,7.8,11.16252113,33.03419,0.23,1
07.02.2011,7.8,11.77673445,32.35937705,0.23,1
07.02.2011,7.8,8.958059455,27.858435,0.17,1
07.02.2011,7.8,14.31335564,37.63344923,0.26,1
08.02.2011,7.8,26.29597765,36.53486813,0.64,2
08.02.2011,7.8,24.14440564,38.72141927,0.52,2
08.02.2011,7.8,14.35162391,31.28898444,0.33,2
08.02.2011,7.8,21.01016305,37.91634444,0.49,2
08.02.2011,7.8,14.31598437,35.70301673,0.31,2
08.02.2011,7.8,13.24819543,35.25029794,0.26,2
08.02.2011,7.8,9.230160189,32.991968,0.14,2
08.02.2011,7.8,15.38949772,37.40336895,0.34,2
08.02.2011,7.8,14.61060411,40.39394771,0.27,2
08.02.2011,7.8,15.49936131,40.97644625,0.28,2
09.02.2011,7.8,19.72172245,31.9841725,0.54,3
09.02.2011,7.8,28.80137075,37.67766974,0.72,3
09.02.2011,7.8,23.40233442,35.46200065,0.59,3
09.02.2011,7.8,22.76776835,37.30716478,0.55,3
09.02.2011,7.8,20.02333449,36.95604,0.44,3
09.02.2011,7.8,28.64745701,37.10756036,0.73,3
09.02.2011,7.8,18.485316,40.13289438,0.36,3
09.02.2011,7.8,11.43364488,32.15161938,0.22,3
09.02.2011,7.8,15.16736551,33.27203645,0.35,3
09.02.2011,7.8,14.8025915,35.10401395,0.32,3
10.02.2011,7.8,19.37620742,31.09445391,0.47,4
10.02.2011,7.8,27.14997559,42.73602207,0.57,4
10.02.2011,7.8,25.4127226,40.93810624,0.55,4
10.02.2011,7.8,22.08610199,36.52615476,0.49,4
10.02.2011,7.8,24.32566544,37.65159147,0.57,4
10.02.2011,7.8,24.89845287,36.20440356,0.63,4
10.02.2011,7.8,24.00806635,43.07680745,0.46,4
10.02.2011,7.8,27.15250073,42.31047307,0.55,4
10.02.2011,7.8,26.34344005,42.66680777,0.56,4
10.02.2011,7.8,25.76177175,37.89464131,0.57,4
14.02.2011,7.8,16.99929717,47.93160387,0.27,5
14.02.2011,7.8,12.35979825,38.12435694,0.23,5
14.02.2011,7.8,11.50480057,40.78400976,0.18,5
14.02.2011,7.8,11.36059086,32.66078703,0.18,5
14.02.2011,7.8,9.825890635,33.5454254,0.17,5
14.02.2011,7.8,11.25980243,34.08485698,0.2,5
14.02.2011,7.8,11.63145086,32.5844964,0.23,5
14.02.2011,7.8,14.58728058,35.99728074,0.26,5
