site,tsf,adup,aplat,amur,amac,aram,dcor,ecun,esax,eul,htal,ldel,lgui,lwhi,ppor,pent,pspe,ptex,rdie,tnig,vros
H09,medium,1,0,0,1,0,0,0,0,0,0,0,15,0,0,9,0,0,0,0,0
H10,medium,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0
I01,medium,0,0,0,2,0,0,0,0,5,0,0,3,0,0,7,0,0,0,0,0
I03,short,1,0,0,0,0,0,0,0,0,0,0,7,0,0,2,0,0,0,1,0
I04,short,0,0,0,0,0,0,0,0,0,0,0,11,0,0,3,0,0,0,0,0
I05,short,0,0,0,3,0,1,0,0,1,0,0,1,0,0,3,0,0,0,0,0
I06,medium,0,0,0,1,0,0,0,0,0,0,0,2,0,0,6,7,0,0,0,0
I07,short,0,0,0,3,0,1,0,0,5,0,0,0,0,0,17,11,0,0,0,0
I08,medium,1,0,0,0,0,0,0,0,0,0,0,2,0,0,23,0,0,0,0,0
I09,short,0,0,0,0,0,0,0,0,0,0,0,1,0,0,9,1,0,1,0,0
I10,short,0,0,0,1,1,0,0,0,1,1,0,8,4,0,1,0,0,0,0,0
