ageclass,sex,long,lat,thg,delta15n,delta13c,hgdep,hgwet,prec,tempmax,tempmin,elev,dist,soc,sph10,sph60,
Adult,Male,-134.7,63.7,0.035,4.281,-25.359,7.416,3.915,35.432,1.449,-9.991,1648,551698.945,139.915,51,56,
Yearling,Male,-134.5,60.3,0.103,6.318,-24.734,10.363,4.577,28.176,4.144,-6.911,1418,924250.750,89.279,55,58,
Yearling,Female,-133.1,60.7,0.042,5.083,-25.671,9.165,3.253,28.955,4.186,-7.525,926,883503.556,69.691,56,58,
Yearling,Male,-136.8,61.9,0.229,7.415,-24.932,8.963,3.389,21.144,2.681,-9.180,1119,747457.959,164.045,55,60,
Unknown,Male,-135.4,63.7,0.515,5.895,-24.741,8.127,3.958,32.939,2.486,-9.245,725,543746.201,132.606,56,59,
Yearling,Male,-136.9,60.7,0.114,6.543,-24.829,9.643,3.747,23.900,5.113,-7.210,852,884773.320,90.451,59,63,
Yearling,Male,-137.4,62.6,0.825,10.161,-24.069,9.433,2.924,24.114,2.528,-8.932,728,680989.561,144.381,61,66,
Adult,Male,-135.3,61.4,0.133,7.154,-25.009,14.424,2.409,21.622,4.937,-7.333,797,800663.543,86.877,62,65,
Yearling,Male,-135.4,63.3,0.221,7.203,-24.075,9.067,2.700,31.001,3.142,-9.092,598,590826.774,106.367,66,70,
Adult,Female,-131.1,60.2,0.154,6.365,-25.533,7.400,2.656,43.389,4.169,-7.108,1241,952971.065,85.242,52,62,
Yearling,Male,-133.1,60.7,0.042,5.600,-25.479,9.165,3.253,28.955,4.186,-7.525,926,883503.556,69.691,56,58,
Yearling,Male,-136.6,60.8,0.097,5.708,-25.329,10.771,3.430,24.629,4.625,-6.793,1193,871028.976,73.824,53,57,
Yearling,Male,-136.9,60.7,0.048,5.974,-24.872,9.643,3.747,23.900,5.113,-7.210,852,884773.320,90.451,59,63,
Yearling,Female,-137.4,62.6,0.128,6.823,-25.721,9.433,2.924,24.114,2.528,-8.932,728,680989.561,144.381,61,66,
Yearling,Male,-138.0,61.7,0.495,7.915,-24.187,7.688,2.702,20.848,2.731,-8.954,1039,777684.351,140.752,58,64,
Adult,Female,-135.0,62.3,0.13,6.576,-25.769,9.063,3.347,29.022,3.995,-8.561,829,706789.628,80.656,56,63,
Yearling,Male,-135.8,60.6,0.255,6.935,-25.260,10.535,5.983,33.160,3.128,-7.777,1799,896353.986,104.918,49,53,
Yearling,Female,-138.9,61.7,0.158,4.969,-24.723,8.623,3.270,23.224,3.216,-9.055,870,789188.827,148.411,64,67,
Yearling,Male,-138.0,61.7,0.205,7.386,-23.146,7.688,2.702,20.848,2.731,-8.954,1039,777684.351,140.752,58,64,
Yearling,Male,-137.6,60.9,0.054,5.039,-25.717,9.010,3.100,25.530,3.996,-8.202,1058,870473.086,96.135,58,62,
Yearling,Male,-139.3,61.7,0.796,9.848,-22.620,9.350,4.741,29.592,3.674,-8.491,1363,796739.546,148.589,60,64,
Adult,Male,-137.3,63.3,0.132,6.015,-26.395,11.913,3.302,27.822,2.178,-8.835,895,601244.306,115.821,58,60,
Yearling,Male,-138.0,61.7,0.06,6.691,-24.189,7.688,2.702,20.848,2.731,-8.954,1039,777684.351,140.752,58,64,
Adult,Male,-128.7,61.9,0.038,5.445,-24.194,4.741,2.323,54.997,0.710,-9.715,1941,805006.059,102.501,51,56,
Yearling,Male,-139.3,61.7,0.687,8.899,-23.292,9.350,4.741,29.592,3.674,-8.491,1363,796739.546,148.589,60,64,
Adult,Female,-136.1,61.3,0.135,6.156,-25.813,11.878,2.366,22.435,4.981,-7.632,1140,814292.226,96.357,56,58,
Yearling,Male,-139.3,61.7,1.297,10.446,-21.788,9.350,4.741,29.592,3.674,-8.491,1363,796739.546,148.589,60,64,
Yearling,Male,-139.3,61.7,1.415,11.580,-22.159,9.350,4.741,29.592,3.674,-8.491,1363,796739.546,148.589,60,64,
Yearling,Male,-136.1,61.3,0.227,7.146,-25.191,11.878,2.366,22.435,4.981,-7.632,1140,814292.226,96.357,56,58,
Yearling,Male,-139.3,61.7,0.215,5.585,-24.681,9.350,4.741,29.592,3.674,-8.491,1363,796739.546,148.589,60,64,
Yearling,Female,-139.1,61.6,0.056,4.571,-25.299,10.198,5.945,29.942,2.701,-9.157,1426,801557.295,149.418,53,57,
Yearling,Male,-133.1,60.7,0.13,6.147,-25.296,9.165,3.253,28.955,4.186,-7.525,926,883503.556,69.691,56,58,
Adult,Male,-140.6,62.9,0.118,5.878,-25.048,14.561,4.396,26.950,2.953,-9.451,856,686034.470,92.000,50,56,
Yearling,Male,-138.8,62.5,0.431,6.755,-24.668,9.716,2.726,24.040,2.808,-8.779,1113,698651.508,149.955,50,54,
Adult,Female,-135.4,63.3,0.041,5.560,-25.287,9.067,2.700,31.001,3.142,-9.092,598,590826.774,106.367,66,70,
Yearling,Male,-138.4,64.6,0.058,5.906,-26.080,6.543,3.044,33.639,-0.670,-10.762,1495,468199.418,39.000,51,55,
Adult,Male,-139.8,67.5,0.312,7.917,-23.982,5.083,3.206,23.354,-1.888,-12.121,239,186118.221,57.000,56.2,59.71,
Yearling,Female,-139.8,67.5,0.308,7.486,-23.019,5.083,3.206,23.354,-1.888,-12.121,239,186118.221,57.000,56.2,59.71,
Yearling,Male,-138.0,61.7,0.629,7.246,-24.770,7.688,2.702,20.848,2.731,-8.954,1039,777684.351,140.752,58,64,
Yearling,Male,-139.1,62.3,0.212,6.198,-25.847,10.593,3.020,25.046,2.435,-9.648,620,726336.069,152.217,60,64,
Adult,Male,-140.1,62.3,0.156,5.704,-25.568,15.266,3.089,31.978,2.383,-10.004,562,734544.419,99.350,60,65,
Yearling,Female,-139.8,67.5,0.113,6.401,-23.322,5.083,3.206,23.354,-1.888,-12.121,239,186118.221,57.000,56.2,59.71,
Adult,Female,-137.4,62.8,0.078,5.485,-26.047,12.601,2.918,25.705,2.845,-8.578,687,653101.602,114.319,54,60,
Adult,Female,-139.8,67.5,0.052,5.370,-26.214,5.083,3.206,23.354,-1.888,-12.121,239,186118.221,57.000,56.2,59.71,
Yearling,Female,-138.3,61.1,0.067,5.629,-25.166,8.046,5.174,29.813,3.383,-7.899,1521,846059.655,139.892,48,51,
Adult,Male,-139.8,67.5,0.37,9.635,-22.208,5.083,3.206,23.354,-1.888,-12.121,239,186118.221,57.000,56.2,59.71,
Adult,Male,-136.1,61.6,0.072,6.178,-24.966,10.130,3.084,23.317,3.907,-8.442,1186,779928.848,94.549,55,59,
Adult,Male,-135.0,60.9,0.056,7.021,-25.628,11.283,2.138,20.708,5.146,-5.778,635,861022.631,75.854,57,66,
Yearling,Female,-139.8,67.5,1.068,9.700,-23.152,5.083,3.206,23.354,-1.888,-12.121,239,186118.221,57.000,56.2,59.71,
Adult,Male,-134.2,61.3,0.098,5.319,-25.715,8.554,3.817,27.850,3.581,-8.019,1074,813110.113,79.244,60,65,
Adult,Female,-138.0,62.6,0.091,7.637,-26.418,9.590,3.149,25.722,2.912,-8.120,791,678692.615,145.493,57,62,
