ageclass,sex,long,lat,thg,delta15n,delta13c,hgdep,hgwet,prec,tempmax,tempmin,elev,dist,soc,sph10,sph60,
Adult,Male,-135.0,60.7,0.118,5.835,-23.882,11.191,2.248,23.262,5.159,-5.167,640,884516.218,60.410,67,69,
Yearling,Male,-138.0,61.2,0.076,6.376,-23.109,7.791,5.026,32.110,2.243,-9.047,1890,838678.680,140.734,54,58,
Adult,Female,-138.0,61.2,0.174,6.286,-23.899,7.791,5.026,32.110,2.243,-9.047,1890,838678.680,140.734,54,58,
Adult,Male,-138.0,61.2,0.132,6.559,-23.176,7.791,5.026,32.110,2.243,-9.047,1890,838678.680,140.734,54,58,
Adult,Male,-135.0,60.7,0.589,6.772,-23.074,11.191,2.248,23.262,5.159,-5.167,640,884516.218,60.410,67,69,
Yearling,Male,-135.0,60.7,0.078,5.198,-25.033,11.191,2.248,23.262,5.159,-5.167,640,884516.218,60.410,67,69,
Adult,Male,-138.0,61.2,0.124,5.288,-24.077,7.791,5.026,32.110,2.243,-9.047,1890,838678.680,140.734,54,58,
Yearling,Male,-138.0,61.2,0.062,6.600,-23.538,7.791,5.026,32.110,2.243,-9.047,1890,838678.680,140.734,54,58,
Adult,Female,-135.0,60.7,0.055,5.612,-23.695,11.191,2.248,23.262,5.159,-5.167,640,884516.218,60.410,67,69,
Adult,Female,-135.0,60.7,0.074,6.129,-26.112,11.191,2.248,23.262,5.159,-5.167,640,884516.218,60.410,67,69,
Adult,Male,-135.0,60.7,0.038,5.183,-23.735,11.191,2.248,23.262,5.159,-5.167,640,884516.218,60.410,67,69,
Adult,Male,-138.0,61.2,1.061,10.698,-21.549,7.791,5.026,35.194,1.373,-10.071,1890,838678.680,140.734,54,58,
Adult,Male,-135.8,60.1,0.317,6.096,-23.835,7.222,3.748,50.994,3.423,-6.828,1351,954447.979,81.392,52,54,
Adult,Male,-138.0,61.2,0.118,7.486,-23.335,7.791,5.026,35.194,1.373,-10.071,1890,838678.680,140.734,54,58,
Adult,Female,-135.0,60.7,0.181,6.876,-23.793,11.191,2.248,25.158,4.382,-6.004,640,884516.218,60.410,67,69,
Adult,Male,-135.0,60.7,0.309,7.397,-24.060,11.191,2.248,25.158,4.382,-6.004,640,884516.218,60.410,67,69,
Adult,Male,-135.0,60.7,0.248,6.279,-23.978,11.191,2.248,25.158,4.382,-6.004,640,884516.218,60.410,67,69,
Adult,Male,-135.0,60.7,0.103,6.435,-24.389,11.191,2.248,25.158,4.382,-6.004,640,884516.218,60.410,67,69,
Adult,Female,-135.0,60.7,0.291,7.855,-24.231,11.191,2.248,25.158,4.382,-6.004,640,884516.218,60.410,67,69,
Adult,Male,-135.0,60.7,0.064,6.495,-23.952,11.191,2.248,25.158,4.382,-6.004,640,884516.218,60.410,67,69,
Yearling,Female,-135.8,60.1,0.158,6.641,-23.899,7.222,3.748,50.994,3.423,-6.828,1351,954447.979,81.392,52,54,
Yearling,Female,-135.8,60.1,0.178,6.658,-23.532,7.222,3.748,50.994,3.423,-6.828,1351,954447.979,81.392,52,54,
Adult,Male,-138.0,61.2,0.139,7.072,-24.258,7.791,5.026,35.194,1.373,-10.071,1890,838678.680,140.734,54,58,
Yearling,Female,-135.0,60.7,0.044,5.808,-24.615,11.191,2.248,25.158,4.382,-6.004,640,884516.218,60.410,67,69,
Adult,Male,-135.8,60.1,1.055,8.913,-22.371,7.222,3.748,50.994,3.423,-6.828,1351,954447.979,81.392,52,54,
Adult,Male,-138.0,61.2,0.08,5.665,-24.066,7.791,5.026,35.194,1.373,-10.071,1890,838678.680,140.734,54,58,
Adult,Male,-138.0,61.2,0.113,5.362,-24.666,7.791,5.026,35.194,1.373,-10.071,1890,838678.680,140.734,54,58,
Adult,Male,-138.0,61.2,0.063,6.521,-24.508,7.791,5.026,35.194,1.373,-10.071,1890,838678.680,140.734,54,58,
Yearling,Female,-135.8,60.1,0.193,7.198,-24.404,7.222,3.748,41.554,4.223,-6.330,1351,954447.979,81.392,52,54,
Adult,Male,-135.0,60.7,0.27,7.307,-23.340,11.191,2.248,20.906,5.148,-5.491,640,884516.218,60.410,67,69,
Adult,Male,-135.0,60.7,0.149,5.843,-24.548,11.191,2.248,20.906,5.148,-5.491,640,884516.218,60.410,67,69,
Adult,Female,-135.0,60.7,0.119,6.463,-24.502,11.191,2.248,20.906,5.148,-5.491,640,884516.218,60.410,67,69,
Adult,Female,-135.0,60.7,0.1,7.108,-25.038,11.191,2.248,20.906,5.148,-5.491,640,884516.218,60.410,67,69,
Yearling,Female,-138.0,61.2,0.61,8.272,-23.506,7.791,5.026,31.902,2.221,-9.453,1890,838678.680,140.734,54,58,
Adult,Female,-138.0,61.2,0.455,7.945,-23.359,7.791,5.026,31.902,2.221,-9.453,1890,838678.680,140.734,54,58,
Adult,Female,-138.0,61.2,0.055,7.996,-25.908,7.791,5.026,31.902,2.221,-9.453,1890,838678.680,140.734,54,58,
Adult,Female,-135.0,60.7,0.117,5.665,-25.504,11.191,2.248,20.906,5.148,-5.491,640,884516.218,60.410,67,69,
Adult,Male,-138.0,61.2,0.387,6.407,-25.001,7.791,5.026,31.902,2.221,-9.453,1890,838678.680,140.734,54,58,
Adult,Male,-138.0,61.2,0.703,6.397,-25.292,7.791,5.026,31.902,2.221,-9.453,1890,838678.680,140.734,54,58,
Adult,Male,-138.0,61.2,0.634,7.929,-23.639,7.791,5.026,31.902,2.221,-9.453,1890,838678.680,140.734,54,58,
Adult,Male,-135.0,60.7,0.074,6.096,-24.357,11.191,2.248,20.906,5.148,-5.491,640,884516.218,60.410,67,69,
Adult,Male,-135.0,60.7,0.049,5.781,-25.040,11.191,2.248,20.906,5.148,-5.491,640,884516.218,60.410,67,69,
Adult,Male,-138.0,61.2,0.712,8.590,-22.804,7.791,5.026,31.902,2.221,-9.453,1890,838678.680,140.734,54,58,
Adult,Female,-138.0,61.2,0.051,5.346,-24.369,7.791,5.026,31.902,2.221,-9.453,1890,838678.680,140.734,54,58,
Adult,Male,-138.0,61.2,0.059,6.060,-24.876,7.791,5.026,31.902,2.221,-9.453,1890,838678.680,140.734,54,58,
Adult,Female,-138.0,61.2,0.145,5.718,-24.742,7.791,5.026,31.902,2.221,-9.453,1890,838678.680,140.734,54,58,
Yearling,Female,-138.0,61.2,0.086,6.728,-23.686,7.791,5.026,35.194,1.373,-10.071,1890,838678.680,140.734,54,58,
Adult,Male,-138.0,61.2,0.086,5.963,-24.438,7.791,5.026,31.902,2.221,-9.453,1890,838678.680,140.734,54,58,
Adult,Female,-138.0,61.2,0.124,5.756,-24.182,7.791,5.026,31.902,2.221,-9.453,1890,838678.680,140.734,54,58,
Adult,Female,-138.0,61.2,0.194,5.709,-24.364,7.791,5.026,37.527,2.840,-8.384,1890,838678.680,140.734,54,58,
Adult,Male,-138.0,61.2,0.064,6.132,-24.240,7.791,5.026,37.527,2.840,-8.384,1890,838678.680,140.734,54,58,
Adult,Male,-138.0,61.2,0.103,5.060,-24.518,7.791,5.026,37.527,2.840,-8.384,1890,838678.680,140.734,54,58,
Adult,Female,-138.0,61.2,0.314,6.433,-24.505,7.791,5.026,37.527,2.840,-8.384,1890,838678.680,140.734,54,58,
Adult,Female,-138.0,61.2,0.18,6.401,-23.322,7.791,5.026,37.527,2.840,-8.384,1890,838678.680,140.734,54,58,
Adult,Female,-138.0,61.2,0.059,5.648,-25.252,7.791,5.026,37.527,2.840,-8.384,1890,838678.680,140.734,54,58,
Yearling,Female,-138.0,61.2,0.156,5.296,-24.605,7.791,5.026,37.527,2.840,-8.384,1890,838678.680,140.734,54,58,
Adult,Female,-138.0,61.2,0.075,4.308,-25.378,7.791,5.026,37.527,2.840,-8.384,1890,838678.680,140.734,54,58,
Yearling,Male,-138.0,61.2,0.114,5.790,-27.585,7.791,5.026,37.527,2.840,-8.384,1890,838678.680,140.734,54,58,
Adult,Female,-138.0,61.2,0.065,5.275,-24.369,7.791,5.026,37.527,2.840,-8.384,1890,838678.680,140.734,54,58,
Yearling,Male,-138.0,61.2,0.093,5.483,-24.698,7.791,5.026,37.527,2.840,-8.384,1890,838678.680,140.734,54,58,
Yearling,Male,-135.0,60.7,0.045,4.982,-25.964,11.191,2.248,24.086,5.686,-4.480,640,884516.218,60.410,67,69,
Yearling,Male,-135.0,60.7,0.176,6.716,-24.845,11.191,2.248,24.086,5.686,-4.480,640,884516.218,60.410,67,69,
Yearling,Female,-135.0,60.7,0.042,5.477,-26.066,11.191,2.248,24.086,5.686,-4.480,640,884516.218,60.410,67,69,
Yearling,Male,-135.0,60.7,0.043,6.165,-25.361,11.191,2.248,24.086,5.686,-4.480,640,884516.218,60.410,67,69,
Yearling,Female,-135.0,60.7,0.045,6.323,-26.027,11.191,2.248,24.086,5.686,-4.480,640,884516.218,60.410,67,69,
Adult,Male,-135.0,60.7,0.044,5.406,-26.324,11.191,2.248,24.086,5.686,-4.480,640,884516.218,60.410,67,69,
Yearling,Male,-138.0,61.2,0.088,5.296,-25.284,7.791,5.026,35.561,3.713,-7.012,1890,838678.680,140.734,54,58,
Adult,Female,-135.8,60.1,0.183,5.581,-24.561,7.222,3.748,48.683,4.791,-5.380,1351,954447.979,81.392,52,54,
Adult,Female,-138.0,61.2,0.098,5.414,-24.555,7.791,5.026,35.561,3.713,-7.012,1890,838678.680,140.734,54,58,
Adult,Male,-138.0,61.2,0.222,6.347,-24.649,7.791,5.026,35.561,3.713,-7.012,1890,838678.680,140.734,54,58,
Yearling,Male,-138.0,61.2,0.101,6.320,-23.740,7.791,5.026,35.561,3.713,-7.012,1890,838678.680,140.734,54,58,
Adult,Male,-138.0,61.2,0.142,5.273,-25.255,7.791,5.026,35.561,3.713,-7.012,1890,838678.680,140.734,54,58,
Adult,Female,-138.0,61.2,0.102,5.320,-25.504,7.791,5.026,35.561,3.713,-7.012,1890,838678.680,140.734,54,58,
Adult,Male,-138.0,61.2,0.065,5.611,-25.509,7.791,5.026,35.561,3.713,-7.012,1890,838678.680,140.734,54,58,
Adult,Male,-135.0,60.7,0.085,6.872,-24.102,11.191,2.248,24.086,5.686,-4.480,640,884516.218,60.410,67,69,
Adult,Female,-135.0,60.7,0.116,6.717,-25.454,11.191,2.248,24.086,5.686,-4.480,640,884516.218,60.410,67,69,
Adult,Female,-135.0,60.7,0.056,6.435,-24.980,11.191,2.248,22.767,6.538,-3.245,640,884516.218,60.410,67,69,
Adult,Male,-135.0,60.7,0.055,6.296,-25.056,11.191,2.248,22.767,6.538,-3.245,640,884516.218,60.410,67,69,
Adult,Male,-138.0,61.2,0.06,6.063,-24.748,7.791,5.026,35.561,3.713,-7.012,1890,838678.680,140.734,54,58,
Yearling,Male,-138.0,61.2,0.127,6.313,-24.819,7.791,5.026,35.561,3.713,-7.012,1890,838678.680,140.734,54,58,
Yearling,Female,-138.0,61.2,0.106,5.738,-24.813,7.791,5.026,35.561,3.713,-7.012,1890,838678.680,140.734,54,58,
Adult,Female,-135.0,60.7,0.268,5.312,-25.342,11.191,2.248,22.767,6.538,-3.245,640,884516.218,60.410,67,69,
Yearling,Female,-138.0,61.2,0.144,5.455,-24.271,7.791,5.026,35.561,3.713,-7.012,1890,838678.680,140.734,54,58,
Adult,Male,-135.0,60.7,0.07,6.086,-24.534,11.191,2.248,22.767,6.538,-3.245,640,884516.218,60.410,67,69,
Yearling,Female,-138.0,61.2,0.049,4.906,-24.683,7.791,5.026,35.561,3.713,-7.012,1890,838678.680,140.734,54,58,
Yearling,Female,-135.0,60.7,0.139,7.479,-25.450,11.191,2.248,22.767,6.538,-3.245,640,884516.218,60.410,67,69,
Adult,Female,-135.0,60.7,0.088,5.976,-25.789,11.191,2.248,22.767,6.538,-3.245,640,884516.218,60.410,67,69,
Adult,Female,-138.0,61.2,0.076,4.192,-25.334,7.791,5.026,35.561,3.713,-7.012,1890,838678.680,140.734,54,58,
Yearling,Female,-138.0,61.2,0.418,6.119,-23.610,7.791,5.026,35.561,3.713,-7.012,1890,838678.680,140.734,54,58,
Yearling,Female,-135.0,60.7,0.062,6.617,-25.582,11.191,2.248,22.767,6.538,-3.245,640,884516.218,60.410,67,69,
Adult,Male,-135.0,60.7,0.038,6.586,-25.392,11.191,2.248,22.767,6.538,-3.245,640,884516.218,60.410,67,69,
Adult,Female,-138.0,61.2,0.247,7.373,-24.263,7.791,5.026,30.179,2.874,-8.080,1890,838678.680,140.734,54,58,
Adult,Male,-135.8,60.1,0.091,6.185,-23.966,7.222,3.748,41.153,4.849,-5.133,1351,954447.979,81.392,52,54,
Yearling,Female,-138.0,61.2,0.084,5.185,-26.128,7.791,5.026,30.179,2.874,-8.080,1890,838678.680,140.734,54,58,
Adult,Male,-138.0,61.2,0.085,6.583,-24.140,7.791,5.026,30.179,2.874,-8.080,1890,838678.680,140.734,54,58,
Adult,Male,-138.0,61.2,0.137,6.043,-24.745,7.791,5.026,30.179,2.874,-8.080,1890,838678.680,140.734,54,58,
Yearling,Female,-138.0,61.2,0.157,5.833,-24.975,7.791,5.026,30.179,2.874,-8.080,1890,838678.680,140.734,54,58,
Yearling,Female,-135.0,60.7,0.079,5.574,-25.824,11.191,2.248,20.788,5.812,-4.224,640,884516.218,60.410,67,69,
Adult,Male,-138.0,61.2,0.121,6.818,-25.066,7.791,5.026,30.179,2.874,-8.080,1890,838678.680,140.734,54,58,
Adult,Male,-138.0,61.2,0.186,6.580,-24.901,7.791,5.026,30.179,2.874,-8.080,1890,838678.680,140.734,54,58,
Yearling,Female,-135.0,60.7,0.044,6.029,-24.986,11.191,2.248,20.788,5.812,-4.224,640,884516.218,60.410,67,69,
Adult,Male,-138.0,61.2,0.028,4.868,-25.252,7.791,5.026,30.179,2.874,-8.080,1890,838678.680,140.734,54,58,
Adult,Female,-138.0,61.2,0.053,5.236,-25.359,7.791,5.026,30.179,2.874,-8.080,1890,838678.680,140.734,54,58,
Yearling,Male,-138.0,61.2,0.159,5.076,-25.317,7.791,5.026,30.179,2.874,-8.080,1890,838678.680,140.734,54,58,
Yearling,Male,-138.0,61.2,0.292,6.101,-24.359,7.791,5.026,30.179,2.874,-8.080,1890,838678.680,140.734,54,58,
Adult,Male,-138.0,61.2,0.687,6.288,-24.891,7.791,5.026,30.179,2.874,-8.080,1890,838678.680,140.734,54,58,
Adult,Male,-138.0,61.2,0.345,6.863,-25.205,7.791,5.026,30.179,2.874,-8.080,1890,838678.680,140.734,54,58,
Yearling,Female,-135.0,60.7,0.049,6.313,-24.425,11.191,2.248,20.788,5.812,-4.224,640,884516.218,60.410,67,69,
Adult,Female,-95.3,60.7,1.085,8.107,-22.249,4.649,4.783,22.989,-2.923,-11.500,86,34062.497,40.000,51,55,
Adult,Male,-106.5,68.4,0.7051,8.556,-24.342,10.796,7.722,14.916,-7.302,-14.425,25,1156.764,107.000,57,61,
Adult,Male,-107.5,68.4,1.98,12.913,-21.131,7.128,7.041,14.488,-6.934,-14.144,34,1958.551,107.000,60,65,
Adult,Male,-91.4,69.3,1.795,9.675,-22.286,5.116,24.444,17.753,-7.841,-15.284,47,12580.852,12.000,68,70,
Adult,Female,-89.8,67.9,0.861,7.118,-24.347,6.720,13.568,19.718,-7.620,-14.954,104,2135.331,70.000,65,69,
Adult,Male,-114.3,66.9,0.636,7.456,-21.757,5.975,3.526,21.531,-4.278,-11.917,495,87757.133,87.000,63,65,
Adult,Male,-113.3,66.4,0.837,7.482,-22.181,4.573,3.863,20.265,-4.238,-11.948,399,126103.780,52.000,60,64,
Adult,Male,-116.3,67.4,0.218,9.111,-22.695,8.842,7.244,21.592,-3.535,-11.488,332,61730.276,41.000,65,67,
Adult,Male,-112.5,67.4,0.612,9.367,-23.035,8.568,7.685,17.794,-5.251,-12.481,384,12866.464,88.000,58,61,
Adult,Male,-115.4,67.2,1.062,7.384,-23.078,8.122,5.935,22.149,-3.894,-11.746,306,64431.371,25.000,56,58,
Adult,Male,-113.1,67.4,0.35,7.127,-21.927,5.254,8.470,19.110,-5.068,-12.458,417,22841.426,88.000,64,67,
Adult,Male,-95.8,60.8,0.493,6.311,-24.918,5.378,4.681,26.363,-2.497,-11.327,145,61055.934,48.000,49,54,
Adult,Male,-95.3,60.7,0.526,6.931,-22.498,4.649,4.783,24.878,-2.274,-10.976,86,34062.497,40.000,51,55,
Adult,Male,-95.0,61.0,0.419,7.743,-25.436,4.960,4.951,23.240,-2.450,-11.105,54,39704.205,40.000,49,53,
Adult,Male,-96.5,61.9,1.391,7.090,-22.496,5.257,4.054,24.732,-3.152,-12.096,107,143810.410,40.000,57,62,
Adult,Female,-96.0,61.9,1.183,6.643,-24.161,5.712,4.141,23.778,-2.991,-11.895,60,117040.801,40.000,49,54,
Adult,Male,-100.8,61.1,0.593,6.726,-22.028,5.500,3.281,26.429,-2.211,-11.261,318,332589.406,0.000,52,55,
Adult,Male,-98.7,61.6,0.378,7.488,-23.277,5.218,4.025,25.556,-3.435,-12.310,305,239840.071,78.571,52.13,55.57,
Adult,Male,-96.3,60.5,0.571,7.155,-23.084,6.106,4.463,27.974,-2.001,-10.986,137,79063.346,52.000,53,58,
Adult,Male,-96.6,61.6,0.936,7.099,-22.409,7.249,4.223,25.349,-3.013,-12.042,145,140987.110,40.000,56,60,
Adult,Female,-92.4,63.3,1.553,8.332,-21.423,5.076,5.552,23.360,-4.235,-12.336,40,45723.890,28.000,52,57,
Adult,Male,-116.8,67.4,0.19,8.355,-24.251,7.689,4.954,21.494,-3.752,-11.983,307,76459.740,116.071,58,59,
Adult,Male,-114.7,67.1,0.142,8.244,-22.142,6.330,4.984,23.039,-4.475,-12.147,495,67529.138,87.000,55,58,
Adult,Male,-113.3,66.7,0.215,8.602,-22.321,6.250,4.129,20.352,-4.431,-12.135,467,95866.536,87.000,57,59,
Adult,Male,-114.7,67.4,0.855,9.874,-22.031,8.845,6.489,22.114,-4.574,-12.371,366,36226.622,87.000,64.82,67.56,
Adult,Male,-97.4,60.6,0.346,9.488,-21.183,7.504,4.033,34.262,-2.634,-11.828,219,140453.017,39.000,48,55,
Adult,Male,-100.4,60.4,0.445,9.552,-21.437,7.209,3.412,34.449,-2.017,-11.238,323,303543.415,8.000,48,52,
Adult,Male,-95.6,62.1,0.313,10.141,-22.005,5.718,4.324,22.596,-4.293,-13.108,63,105840.706,90.000,58.08,63,
Adult,Female,-94.3,61.0,0.424,9.500,-21.462,6.570,6.027,22.496,-3.519,-12.421,17,8811.767,154.000,45,51,
Adult,Female,-116.6,67.2,0.47,9.018,-22.980,5.854,4.985,22.331,-3.842,-12.165,271,82370.630,174.000,62,65,
Adult,Male,-115.9,67.5,0.222,8.245,-23.033,9.162,7.050,21.935,-4.189,-12.455,245,40714.262,171.000,57,63,
Adult,Female,-116.4,67.4,0.125,8.003,-24.817,8.890,6.934,22.869,-3.992,-12.021,373,62231.420,41.000,54,59,
Adult,Male,-111.4,65.5,0.659,9.180,-21.684,6.201,3.548,21.350,-4.302,-12.844,540,198503.509,55.000,60,62,
Adult,Male,-115.2,68.0,0.973,10.971,-8.044,14.678,14.983,19.011,-5.186,-13.208,12,869.294,91.000,61,62,
Adult,Male,-97.4,62.3,0.151,7.986,-21.749,6.270,5.387,23.094,-6.008,-15.034,193,199638.529,88.000,49.77,54.5,
Adult,Male,-93.5,61.7,1.317,10.599,-20.628,6.924,7.327,23.164,-5.341,-13.654,20,996.812,24.000,57,62,
Adult,Male,-97.7,62.1,1.014,8.519,-21.581,3.946,4.218,23.647,-5.571,-14.636,173,208246.976,78.000,49,54,
Adult,Male,-137.6,68.9,0.418,7.150,-24.974,17.684,17.633,9.424,-5.504,-13.178,45,10759.300,291.000,53,57,
Subadult,Male,-135.9,68.5,0.126,6.122,-24.206,14.047,7.861,19.891,-3.691,-10.955,280,27021.912,91.884,50,54,
Adult,Female,-134.5,67.6,1.213,6.682,-25.990,12.663,5.530,24.953,-2.420,-10.793,9,110362.096,99.531,58.9,63.93,
Adult,Male,-135.3,68.0,2.096,7.553,-26.158,8.980,6.829,26.789,-3.618,-11.404,11,73053.137,161.464,52,58,
Subadult,Male,-136.3,67.9,0.096,6.705,-23.049,8.234,5.816,29.169,-4.089,-11.624,1172,86865.829,146.357,53,58,
Subadult,Male,-136.2,67.7,0.921,6.063,-25.083,7.987,4.185,28.612,-3.604,-11.357,334,113514.057,127.750,50,54,
Subadult,Male,-135.6,67.8,0.086,6.160,-23.957,10.219,5.302,29.923,-3.412,-11.084,571,92331.804,144.325,58,61,
Subadult,Male,-135.7,68.2,0.549,6.579,-24.744,10.875,6.175,25.570,-2.320,-10.250,336,51824.394,150.120,51,55,
Subadult,Male,-135.8,68.6,0.288,7.633,-24.570,13.343,10.645,23.643,-3.188,-10.881,7,14471.967,182.000,53,58,
Subadult,Male,-134.9,68.0,2.831,8.040,-25.513,8.021,6.266,30.070,-2.577,-10.976,8,69609.511,193.308,52.78,59.09,
Subadult,Unknown,-135.5,68.1,0.32,5.570,-25.491,11.333,6.385,30.165,-2.522,-10.576,44,52657.525,164.857,60,63,
Adult,Female,-134.8,67.7,2.582,5.978,-27.574,14.097,5.986,12.586,-3.579,-11.583,9,100207.771,195.195,57.57,63.65,
Adult,Female,-135.0,67.5,0.666,7.668,-25.690,10.823,5.190,31.486,-2.084,-11.138,13,124301.865,185.787,52,57,
Adult,Male,-135.0,67.3,0.053,5.716,-23.333,11.376,4.535,28.181,-3.140,-11.741,75,143667.124,160.688,49,53,
Adult,Female,-131.1,69.1,0.635,6.396,-24.181,13.348,7.774,13.938,-5.836,-12.471,44,6400.028,100.000,54,57,
Adult,Female,-126.9,68.8,0.554,7.686,-24.708,10.085,4.501,14.899,-4.909,-11.578,183,70101.989,95.000,57.32,61.04,
Adult,Female,-129.8,69.4,0.468,8.160,-18.447,10.939,9.541,10.710,-5.247,-11.850,22,10822.648,100.000,52,55,
Adult,Male,-133.3,68.6,0.27,6.129,-24.271,10.219,7.602,18.981,-3.697,-11.302,74,59490.013,95.000,47,51,
Adult,Male,-133.5,68.2,0.094,6.877,-24.863,9.510,6.437,20.755,-2.704,-10.941,82,80494.384,125.532,49,52,
Subadult,Male,-136.2,68.2,0.15,5.976,-24.154,9.186,7.280,23.758,-3.364,-10.662,359,60979.041,149.393,48,53,
Adult,Female,-130.3,69.5,0.358,8.333,-16.500,9.884,9.774,11.503,-5.850,-12.497,8,5672.834,100.000,47.08,50.24,
Adult,Male,-130.3,69.4,0.631,8.813,-22.867,12.065,9.631,11.653,-5.799,-12.429,16,10480.372,94.650,55,59,
Adult,Male,-130.6,69.3,0.655,9.117,-24.069,11.230,9.043,15.490,-5.044,-12.230,24,2842.811,94.740,46,51,
Adult,Male,-133.0,67.9,2.419,6.989,-24.902,8.290,6.709,26.311,-2.377,-11.409,213,116041.114,194.619,55,57,
Subadult,Male,-123.4,69.4,1.633,10.341,-22.769,12.644,23.468,15.654,-5.073,-11.113,2,770.681,189.000,58,63,
Adult,Male,-124.0,69.1,0.612,7.583,-22.583,13.547,7.445,20.924,-4.912,-10.877,308,26208.541,105.000,57,59,
Subadult,Female,-128.3,69.2,0.238,5.664,-25.937,12.006,10.227,10.053,-5.937,-12.429,16,31752.024,69.000,60,64,
Adult,Female,-128.4,69.0,0.586,7.154,-24.609,12.996,6.714,12.056,-5.662,-12.412,184,55940.855,151.000,54,57,
Adult,Male,-128.1,69.5,0.393,5.649,-24.977,16.849,10.943,11.114,-6.692,-12.988,53,709.522,100.000,50,54,
Adult,Male,-126.9,68.8,0.282,6.380,-24.092,10.085,4.501,16.048,-6.061,-12.656,183,70101.989,95.000,57.32,61.04,
Adult,Male,-129.0,68.7,0.289,6.129,-24.697,10.094,5.822,14.184,-4.110,-11.198,237,70864.024,158.000,47,51,
Adult,Female,-130.6,69.3,1.195,7.150,-22.833,10.620,9.229,12.318,-5.234,-11.896,49,4701.864,94.000,50,53,
Subadult,Female,-126.9,68.8,2.777,6.903,-24.400,10.085,4.501,14.899,-4.909,-11.578,183,70101.989,95.000,57.32,61.04,
Adult,Male,-130.9,69.1,0.496,9.211,-23.864,10.604,8.465,13.467,-4.829,-11.580,0,611.187,60.000,58.71,62.43,
Adult,Male,-128.2,69.3,0.401,6.789,-24.572,13.669,11.308,12.231,-4.794,-11.296,17,20739.638,151.000,47,50,
Adult,Male,-128.3,69.1,0.703,7.469,-24.922,11.737,10.247,12.661,-4.316,-11.146,17,42542.639,102.617,53,59,
Adult,Female,-129.2,68.7,2.625,9.140,-23.377,10.386,6.340,15.205,-3.684,-10.871,232,68581.981,158.000,48,53,
Adult,Female,-129.6,68.6,1.594,7.996,-24.503,9.544,5.766,15.135,-3.635,-10.962,171,72052.229,192.214,59,62,
Adult,Female,-131.5,69.1,1.038,8.490,-23.214,12.010,8.832,13.773,-4.520,-11.332,30,20709.034,100.000,48,51,
Adult,Female,-128.2,69.1,0.247,5.275,-25.060,12.007,9.936,12.661,-4.316,-11.146,18,44522.363,82.006,51,54,
Adult,Female,-128.4,69.1,0.72,7.898,-22.937,12.390,6.941,12.512,-4.387,-11.272,127,44464.545,151.000,53,56,
Adult,Male,-128.3,69.3,0.47,7.291,-23.596,13.669,11.308,12.133,-5.466,-12.080,27,21034.638,151.000,51,55,
Adult,Female,-128.3,69.3,0.393,6.478,-24.637,12.850,10.108,12.163,-5.302,-11.959,18,24914.209,151.000,59,64,
Subadult,Male,-132.8,69.0,0.737,7.992,-23.447,9.668,8.360,16.225,-5.733,-12.244,34,43687.751,94.362,50,54,
Subadult,Male,-131.6,69.1,0.69,6.946,-23.889,9.841,9.698,14.780,-5.548,-12.241,36,25360.289,100.000,45,48,
Adult,Female,-131.0,69.6,0.368,9.066,-21.238,11.008,11.217,14.163,-4.427,-11.149,0,969.602,45.054,60.07,65.1,
Adult,Male,-129.9,68.5,0.876,9.911,-24.425,9.782,5.448,15.708,-3.010,-11.125,193,76746.021,183.929,57,61,
Subadult,Male,-133.3,68.3,0.546,6.251,-24.894,12.415,6.182,25.266,-2.703,-11.536,93,82146.907,131.000,49,53,
Adult,Female,-117.9,67.1,0.502,8.611,-23.021,6.902,3.944,20.692,-3.581,-11.557,259,131879.142,65.000,58.29,61.71,
Subadult,Male,-124.7,71.8,0.625,7.337,-24.111,10.783,16.834,12.152,-8.810,-13.981,3,3980.633,203.000,66,71.71,
Adult,Male,-131.2,69.1,1.1,10.445,-22.837,11.633,8.040,14.722,-3.907,-10.793,13,7309.694,100.000,51.68,55.19,
Adult,Male,-96.7,64.1,1.122,7.393,-21.341,5.785,5.052,20.757,-4.412,-13.330,63,242227.920,25.000,54.79,60.5,
Adult,Male,-135.3,68.0,0.789,8.633,-23.671,8.796,6.707,7.569,-3.469,-10.948,8,70458.755,175.197,51,58,
Adult,Male,-117.4,67.1,0.321,9.186,-22.233,6.517,4.268,21.850,-3.096,-10.899,294,113927.268,25.000,55.57,58.57,
Adult,Male,-135.3,68.4,2.04,6.742,-24.997,10.483,7.718,22.798,-3.956,-11.215,3,22077.116,121.130,55,60,
Subadult,Male,-134.8,68.2,5.722,9.162,-25.606,9.383,7.108,21.966,-4.324,-11.901,-3,45617.291,192.507,55.85,60.45,
Subadult,Male,-134.6,69.1,0.219,6.543,-24.180,13.855,12.526,15.982,-4.604,-11.522,2,1526.459,98.000,54.28,60.13,
Adult,Female,-133.5,68.6,2.815,6.381,-24.712,9.876,7.591,16.943,-3.860,-11.429,61,55222.797,95.000,52.05,56.27,
Subadult,Male,-132.9,67.9,0.879,5.729,-25.902,7.195,7.039,20.741,-2.993,-11.095,207,119548.949,209.000,54.21,57.47,
Adult,Male,-132.9,67.9,1.709,7.486,-24.208,7.195,7.039,20.869,-2.912,-11.072,207,119548.949,209.000,54.21,57.47,
Adult,Male,-133.5,68.6,0.1,6.679,-23.711,9.876,7.591,19.843,-3.829,-11.377,61,55222.797,95.000,52.05,56.27,
