pops,watervel,centroid,bodydep,pdlength,ppectlength,ppelvlength,dfb,afb,dcp,vcplength,acpdepth,pcplength,mpl,bodywidth,group
Otonabee,Flow,2035,12.96,16.64,14.04,15.6,13.76,6.4,8.7,8.84,5.6,4.46,7.1,5.85,of
Otonabee,Flow,2860,15.33,19.92,15.6,18.09,16.22,8.06,9.64,9.6,6.88,5.66,10.2,7.31,of
Otonabee,Flow,2693,15.43,18.12,14.45,17.25,16.54,7.81,9.88,10.15,6.64,5.37,9.46,7.26,of
Otonabee,Flow,2205,13.35,17.05,13.59,15.35,14.34,7.26,8.82,10.03,6.08,4.48,9.41,6.02,of
Otonabee,Flow,2139,12.88,16.98,14.5,16.23,13.46,7.24,9.62,9.56,5.43,4.84,9.54,6.13,of
Otonabee,Flow,2670,15.15,18.92,15.35,17.36,15.73,7.77,9.15,9.46,6.51,5.24,9.12,7.24,of
Otonabee,Flow,2267,13.63,18.35,14.88,16.33,13.94,6.74,9.11,9.32,5.92,4.66,9.03,6.84,of
Otonabee,Flow,2655,15.33,18.87,15.52,17.56,15.6,8.26,10.46,9.68,6.19,5.45,10.79,6.86,of
Otonabee,Flow,2454,14.16,17.75,15.03,16.91,14.72,7.48,9.27,9.71,6.35,5.13,9.12,6.41,of
Otonabee,Flow,1852,11.85,15.89,13.63,14.66,12.9,6.24,7.97,8.53,5.65,4.31,8.8,5.44,of
Otonabee,Flow,2032,12.42,16.38,13.42,15.02,14.11,6.71,9.2,9.54,5.21,4.3,8.47,5.68,of
Rice,Still,3634,18.36,21.87,17.57,21.6,19.4,8.73,9.97,9.92,7.39,6.04,12.17,8.45,rs
Rice,Still,3876,19.21,21.97,18.64,21.08,19.5,9.91,10.1,10.25,7.61,6,13.8,8.28,rs
Rice,Still,3764,19.29,22.2,16.98,20.01,18.9,8.81,10.02,10.56,8.18,6.31,13.68,8.37,rs
