pops,watervel,centroid,bodydep,pdlength,ppectlength,ppelvlength,dfb,afb,dcp,vcplength,acpdepth,pcplength,mpl,bodywidth,group
Ter,Still,2734,15.34,18.11,14.6,16.45,17.05,7.68,9.26,9.85,6.68,4.95,10.37,6.78,ts
Ter,Still,2661,15.27,18.44,14.85,16.76,16.17,8.2,8.95,8.43,6.67,4.93,10.41,6.99,ts
Ter,Still,2176,14.25,16.81,12.82,15.25,14.76,7.73,7.51,8.58,6.14,4.47,8.09,6.79,ts
Ter,Flow,2720,15.78,17.87,14.52,17.6,16.8,8.33,8.34,8.37,7.16,5.21,9.07,6.46,tf
Ter,Flow,2301,14.13,17.34,13.85,15.84,15.68,7.29,8.12,8.18,6.3,5.22,9.17,6.51,tf
Ter,Flow,2348,14.17,17.22,14.4,16.31,15.88,7.26,8.21,8.17,6.19,5.01,9.46,6.37,tf
Ter,Flow,3510,17.69,20.73,16.63,19.01,19.14,9.38,9.34,10.41,7.77,5.98,10.65,7.86,tf
Ter,Flow,2887,15.98,18.62,14.34,17,17.77,8.06,9.19,9.57,7.06,5.6,10.03,7.38,tf
Ter,Flow,2243,14.11,17.11,12.59,15.34,15.14,7.05,8.55,7.8,6.34,4.79,8.83,6.48,tf
Ter,Flow,2453,14.95,17.76,14.48,16.22,16.15,7.41,8.42,8.92,6.4,4.9,9.24,6.4,tf
Ter,Flow,2834,15.75,19.12,14.72,17.27,17.06,8.04,9.25,8.84,6.94,5.39,10.17,6.84,tf
Ter,Flow,2385,14.36,17.51,13.47,15.63,15.56,7.11,8.87,8.84,6.23,4.96,9.77,6.47,tf
Ter,Flow,3205,17.59,20.36,15.66,18.27,18.36,8.16,8.87,9.85,7.73,6.3,11.02,7.87,tf
Ter,Flow,2109,13.23,16.3,13.58,15.44,14.81,6.6,7.81,8.4,5.97,4.6,9.78,6.18,tf
