ca,cr,cu,fe,mn,pb,zn,cd,mg,ni,soc,ph,n,k,p,landuse,group
0.752,60.69,20.882,3.129,811.7,24.1,66.54,0.377,1.091,24.36,0.52,5.64,589.1,1.988,661.44,Orchard,3
0.621,70.89,21.863,3.518,370.7,28.84,72.95,0.214,1.134,28.42,0.88,6.27,1435.5,2.142,417.04,Paddy,2
0.316,63.55,21.485,3.191,517.3,30.6,55.86,0.114,0.699,19.9,0.952,4.63,998.1,1.701,842.7,Paddy,2
0.752,63.85,20.294,3.255,532.4,24.51,65.42,0.235,1.21,27.23,0.52,5.39,918.2,1.957,479.44,Dryland,1
0.556,78.74,36.634,4.219,667.8,34.7,92.37,0.281,1.166,29.61,1.242,5.52,1323.3,2.289,1504.14,Orchard,3
1.014,65.08,23.824,3.539,747.6,26.78,85.18,0.337,1.426,30,0.672,7.91,824.5,2.73,896.48,Dryland,1
0.665,60.59,18.333,3.392,461,32.75,70.17,0.245,0.875,22.57,0.617,6.21,902.7,1.73,500.24,Paddy,2
0.534,59.87,22.475,3.18,494,26.9,61.6,0.166,0.899,22.43,0.77,5.19,901.9,1.859,453.68,Paddy,2
0.589,61.3,23.366,3.36,772.7,25.3,60.89,0.26,0.91,24.08,0.478,5.76,703.9,1.869,401.74,Orchard,3
0.719,70.18,25.644,3.922,726.1,27.4,74.98,0.166,1.487,31.65,0.613,7.13,601.9,2.31,321.18,Paddy,2
0.861,65.28,23.267,3.403,762.1,29.5,79.2,0.354,1.166,28.16,0.82,7.23,703.9,2.258,912.66,Paddy,2
0.97,67.63,22.178,3.233,353,25.6,76.01,0.281,1.41,32.91,0.845,7.57,939.8,2.279,514.1,Paddy,2
0.828,63.24,24.158,3.466,674.2,24.4,69.86,0.146,1.243,26.5,0.603,6.54,654.4,2.058,589.36,Dryland,1
0.818,69.87,20.882,3.497,495.6,25.85,74.02,0.326,1.22,27.72,0.7,6.44,1164.5,2.081,443.04,Orchard,3
0.621,69.05,21.275,3.423,412.7,27.5,71.38,0.204,1.156,27.13,1.032,6.13,1396.4,2.338,357.76,Paddy,2
0.73,72.42,23.725,3.686,435.8,27.3,81.72,0.194,1.35,29.41,1.011,5.86,1528.2,2.565,510.64,Paddy,2
0.491,62.73,18.725,2.709,297.2,26.88,55.86,0.184,0.842,21.68,0.824,5.93,1264.5,1.627,353.6,Paddy,2
0.501,60.79,16.961,2.646,308.7,25.75,52.23,0.184,0.799,20.2,0.831,6.05,1238.2,1.576,379.6,Paddy,2
0.621,61.61,19.118,3.423,690.9,26.57,62.47,0.194,0.961,24.16,0.555,5.33,905.5,1.833,373.36,Orchard,3
1.025,52.12,24.752,3.095,586.2,26.3,69.59,0.156,1.099,21.46,0.67,5.19,587.4,1.575,988.98,Dryland,1
0.741,81.7,26.238,3.901,576.6,27.2,86.85,0.333,1.654,37.77,0.99,6.52,1025.2,2.541,906.3,Paddy,2
0.894,80.78,20.297,3.403,742,24.1,71.04,0.25,1.665,36.6,0.59,7.05,625.2,2.384,518.34,Dryland,1
0.818,67.12,23.333,3.57,500.9,26.78,76.29,0.255,1.296,30.1,0.721,5.95,877.3,2.493,656.24,Paddy,2
0.752,62.12,18.039,3.36,567,25.96,68.98,0.286,1.015,23.96,0.68,5.54,1000.9,1.875,522.08,Orchard,3
0.959,67.52,24.804,3.581,707.7,26.37,82.13,0.275,1.469,30.5,0.417,6.68,701.8,2.266,743.6,Dryland,1
0.818,68.03,24.851,3.593,548,29.3,83.45,0.27,1.299,28.83,0.934,6.58,1149.5,2.142,602.08,Paddy,2
0.927,70.99,25.941,3.795,621.2,27.5,86.78,0.322,1.487,31.75,1.193,6.92,1441.7,2.646,769.56,Paddy,2
0.828,65.28,23.96,3.509,515.2,26,75.12,0.25,1.354,28.93,0.826,6.26,1000,2.583,733.52,Paddy,2
0.85,60.18,26.931,3.381,665.7,23.9,93.2,0.208,1.41,25.63,0.567,5.52,721.4,2.436,926.44,Dryland,1
0.741,68.85,24.455,3.848,499.3,27.9,78.71,0.27,1.31,29.03,0.837,6.26,995.1,2.069,428.24,Paddy,2
0.85,65.18,21.386,3.604,686.9,24,76.14,0.208,1.421,27.96,0.68,5.59,713.6,2.552,677.34,Paddy,2
1.341,53.55,18.515,3.191,549.1,22.1,64.92,0.239,0.799,24.08,0.6,6.67,532,1.26,620.1,Dryland,1
0.643,93.53,27.228,4.378,574.5,30.5,88.85,0.333,1.51,50.1,0.706,6.57,1478.6,2.426,599.96,Paddy,2
0.676,61.81,20.693,2.851,463.2,23.5,58.53,0.25,1.221,25.92,0.726,6.76,755.3,2.153,604.2,Dryland,1
1.33,63.34,23.267,3.858,743.1,26.2,80.43,0.229,1.587,28.83,0.65,6.36,817.5,1.985,686.88,Dryland,1
0.894,61.71,25.347,3.71,551.2,26.2,81.55,0.177,1.41,27.28,0.809,5.29,1058.3,2.237,935.98,Dryland,1
0.73,86.8,25.149,4.102,594.7,29.2,78.61,0.229,1.465,45.83,0.92,6.85,1246.6,2.541,622.22,Paddy,2
0.85,60.38,22.574,3.54,526.8,26.8,79.61,0.302,1.254,27.38,1.01,6.37,1660.2,1.901,631.76,Paddy,2
0.959,70.89,24.455,3.986,540.6,26.9,92.38,0.218,1.598,32.14,0.92,6.44,932,2.73,705.96,Paddy,2
0.807,56.2,17.327,2.438,454.7,20.1,49.66,0.156,0.899,21.26,0.72,8.11,453.4,2.006,579.82,Dryland,1
0.992,71.6,26.238,4.017,593.6,26.2,83.56,0.187,1.698,33.01,0.6,7.29,692.2,2.573,566.04,Paddy,2
1.101,67.73,26.733,3.88,774.9,26,88.07,0.239,1.587,31.65,0.61,6.62,659.2,2.415,841.64,Dryland,1
0.338,79.25,23.168,3.392,431.4,25.8,67.66,0.187,0.955,35.05,0.878,5.67,1001.9,1.785,378.42,Paddy,2
1.057,65.59,25.347,3.774,624.3,24.4,78.3,0.208,1.565,30.97,0.6,7.35,725.2,2.499,758.96,Paddy,2
0.959,71.4,26.04,3.774,603.1,25.2,86.2,0.25,1.654,31.17,0.55,6.37,621.4,2.793,1000.64,Orchard,3
0.796,66.81,29.406,3.583,549.1,26.7,88.37,0.239,1.465,28.06,0.6,5.29,760.2,2.531,858.6,Dryland,1
0.6,67.01,20.594,3.138,447.3,27.4,65.44,0.218,1.099,25.63,0.83,6.71,961.2,1.995,453.68,Dryland,1
0.687,69.77,24.257,3.837,422.9,26.6,71.53,0.177,1.288,27.09,0.851,6.38,1126.2,2.195,528.94,Dryland,1
0.512,95.68,29.01,4.558,371,29.7,86.03,0.229,1.365,49.03,0.657,5.72,1200,2.3,488.66,Paddy,2
1.319,60.49,21.683,3.222,619,23.4,69.5,0.198,1.41,25.24,0.754,8.06,603.9,2.184,807.72,Paddy,2
1.036,68.34,23.366,3.509,633.9,23.6,75.14,0.208,1.487,28.06,0.851,7.74,904.9,2.247,601.02,Paddy,2
0.927,68.95,26.04,3.456,545.9,27.1,98.17,0.27,1.443,30.68,1.01,6,1328.2,2.426,1300.62,Dryland,1
1.199,75.07,23.465,4.123,575.6,25.4,88.75,0.322,1.732,31.36,1.106,7.53,1528.2,2.289,781.22,Paddy,2
0.97,70.89,26.04,3.837,656.1,25,79.92,0.208,1.721,31.17,0.62,5.2,758.3,2.342,1060,Paddy,2
0.861,71.6,25.05,3.604,497.1,28.1,85.64,0.302,1.421,30.39,1.039,6.11,1216.5,2.3,643.42,Paddy,2
0.937,69.36,23.861,3.763,808.8,23.6,78.94,0.208,1.643,29.9,0.65,5.49,772.8,2.3,821.5,Dryland,1
0.512,69.56,20.495,2.947,377.4,25.8,59.82,0.205,0.977,24.47,0.739,6.01,924.3,1.88,493.96,Paddy,2
0.992,69.77,22.772,3.434,614.8,24.4,70.22,0.208,1.476,28.35,0.683,6.93,818.4,2.279,615.86,Dryland,1
0.763,92.41,25.545,4.431,362.5,30.3,78.15,0.25,1.321,44.95,0.953,7.53,1351.5,2.3,497.14,Paddy,2
0.382,78.64,20.495,3.434,318,27.3,61.69,0.177,1.021,33.2,0.794,5.9,1088.3,2.331,420.82,Paddy,2
1.112,71.5,23.861,3.837,640.2,24.3,82.05,0.229,1.765,29.9,0.699,6.66,846.6,2.342,872.38,Orchard,3
0.741,68.65,24.455,3.572,514.1,28,76.85,0.27,1.332,30.39,0.898,5.95,1260.2,2.216,416.58,Dryland,1
0.567,62.42,17.822,2.639,649.8,23.4,51.06,0.166,0.899,24.17,0.57,6.45,550.5,2.069,350.86,Paddy,2
1.188,74.05,23.861,3.933,567.1,25.7,97.18,0.385,1.632,30.97,0.904,7.89,1367,2.426,728.22,Paddy,2
0.97,74.36,27.03,4.134,711.3,26,83.12,0.218,1.654,33.11,0.6,7.2,750.5,2.426,640.24,Dryland,1
0.948,68.95,25.644,3.89,653,26.3,81.15,0.229,1.565,31.75,0.732,5.9,895.1,2.373,755.78,Paddy,2
0.883,70.79,25.644,3.657,607.4,28.3,83.41,0.27,1.343,29.51,1.022,6.85,1549.5,2.279,799.24,Paddy,2
0.861,73.75,24.158,3.816,724,27.6,83.08,0.333,1.543,32.04,0.974,6.74,1522.3,2.331,551.2,Paddy,2
0.861,67.42,25.842,3.71,555.4,28.3,81.37,0.302,1.399,30.68,0.934,6.45,1418.4,2.384,586.18,Paddy,2
0.85,63.44,22.079,3.339,728.2,24.6,68.12,0.156,1.321,28.74,0.62,6.64,692.2,2.216,567.1,Dryland,1
0.97,72.01,28.416,3.816,620.1,28.3,94.85,0.333,1.543,32.62,0.87,7.14,1277.7,2.583,1017.6,Paddy,2
0.894,70.69,26.139,3.911,598.9,28.2,86.81,0.333,1.521,33.69,0.967,6.79,1435,2.3,517.28,Paddy,2
1.057,67.01,26.337,3.615,528.9,26.8,88.24,0.322,1.51,30.68,1.008,7.29,1513.6,2.478,977.32,Dryland,1
0.643,69.67,23.267,3.254,383.7,26.2,73.13,0.281,1.376,31.55,0.801,5.9,907.8,2.268,528.94,Dryland,1
0.905,71.71,26.832,3.827,586.2,27,82.87,0.239,1.643,31.65,0.676,5.54,785.4,2.489,949.76,Paddy,2
0.643,68.75,19.802,2.915,365.7,27.4,62.31,0.27,0.977,25.83,0.911,6.85,1223.3,2.027,525.76,Paddy,2
0.61,64.06,19.01,2.735,329.7,26,59.8,0.27,0.899,24.08,0.773,6.86,1011.7,1.995,433.54,Paddy,2
1.068,62.32,22.376,3.498,567.1,24.9,77.84,0.26,1.543,28.06,0.989,7.18,1193.2,2.373,598.9,Paddy,2
0.959,65.99,23.96,3.689,676.3,25.9,80.64,0.27,1.565,31.65,0.815,6.42,1022.3,2.363,629.64,Paddy,2
0.807,68.44,26.832,3.71,651.9,28.8,90.61,0.322,1.343,33.4,0.884,6.54,1270.9,2.426,878.74,Dryland,1
0.916,65.48,23.564,3.477,586.2,25.6,79.6,0.27,1.476,31.46,0.752,6.05,901.9,2.195,707.02,Dryland,1
0.807,67.01,21.782,3.54,807.7,25.5,72.37,0.26,1.21,29.13,0.64,5.85,642.7,2.09,637.06,Paddy,2
1.319,60.49,22.772,3.487,648.7,24,79.49,0.239,1.654,28.06,0.53,8.24,502.9,2.541,915.84,Dryland,1
1.046,67.22,24.752,3.827,730.3,27.9,86.05,0.354,1.621,33.3,0.961,6.87,1160.2,2.394,581.94,Paddy,2
1.079,67.22,23.267,3.562,720.8,24.8,78.82,0.25,1.61,30.1,0.796,7.44,892.2,2.457,708.08,Dryland,1
0.818,63.85,21.485,3.445,685.8,25.3,76.22,0.218,1.443,28.45,0.56,5.35,695.1,2.373,629.64,Dryland,1
0.643,69.26,19.307,2.851,276.7,28.2,61.47,0.239,1.055,27.77,0.877,6.64,1138.8,2.09,390.08,Paddy,2
0.654,67.83,20.396,2.851,359.3,29.4,68.95,0.354,1.099,26.89,1.036,5.71,1521.4,2.121,536.36,Paddy,2
0.534,68.75,16.238,2.682,318,24.5,50.15,0.156,0.821,22.04,0.78,5.94,1045.6,1.869,609.5,Paddy,2
0.959,63.14,24.752,3.572,678.4,25.9,83.64,0.322,1.565,29.9,0.64,5.6,849.5,2.468,967.78,Dryland,1
1.777,71.4,25.149,3.615,551.2,26.8,85.66,0.312,1.476,33.88,0.801,8.26,1087.4,2.468,790.76,Paddy,2
0.97,57.63,23.267,3.138,612.7,23.3,81.23,0.291,1.421,24.37,0.62,6.34,817.5,2.258,1138.44,Dryland,1
0.894,68.14,24.059,3.646,591.5,25.5,82.54,0.218,1.543,31.17,0.6,5.91,739.8,2.478,774.86,Dryland,1
0.796,72.01,20.693,3.116,441,26.1,69.12,0.26,1.277,29.42,0.683,6.41,868.9,2.321,497.14,Dryland,1
