ca,cr,cu,fe,mn,pb,zn,cd,mg,ni,soc,ph,n,k,p,landuse,group
0.333,36.61,8.431,2.012,220.2,19.51,32.72,0.103,0.381,10.75,0.754,5.35,765.3,1.383,455.82,Dryland,1
0.322,51.9,11.176,2.194,255.1,21.76,31.83,0.134,0.392,13.77,0.634,5.95,544.9,1.186,204.37,Orchard,3
0.311,50.96,23.039,1.905,202.7,22.75,42.54,0.258,0.381,15,1.011,5.95,967.2,1.102,520.02,Dryland,1
0.4,46.18,9.5,2.151,323.7,26.27,41.74,0.237,0.482,13.96,0.573,5.72,662.3,1.581,691.22,Dryland,1
0.785,70.04,22.2,3.371,490.4,26.7,73.97,0.24,1.363,28.06,0.989,6.05,1085.7,2.421,490.35,Paddy,2
0.266,36.4,7.735,1.53,129.7,20.69,30.87,0.135,0.336,9.91,1.011,5.84,1055.8,1.57,375.57,Dryland,1
0.316,39.17,9.41,1.796,191.1,22.3,28.31,0.11,0.36,10.78,1.01,5.09,780,1.36,1150.8,Paddy,2
0.643,71.93,21,3.297,456.8,26.8,68.09,0.27,1.101,29.22,0.932,5.25,1050.5,2.039,432.6,Orchard,3
0.698,66.89,19.1,3.339,681.5,25.2,62.09,0.4,1.079,24.47,0.94,6.2,888.6,1.885,478.8,Orchard,3
0.927,62.37,21.6,3.192,642.6,24.8,66.96,0.22,1.199,26.5,0.719,5.81,762.9,2.225,677.25,Orchard,3
0.839,72.24,24.4,3.759,705.6,26.7,73.69,0.2,1.341,30.58,0.82,6.44,816.2,2.245,431.55,Orchard,3
0.872,71.82,25.5,3.686,881,27.4,74.05,0.24,1.33,30.87,0.83,6.71,765.7,2.245,478.8,Orchard,3
0.48,50.09,22,2.468,223.7,23.9,45.05,0.18,0.578,14.27,0.719,5.8,817.1,1.432,312.9,Orchard,3
0.305,49.04,8.45,1.659,404.3,21.1,27.92,0.11,0.327,11.84,0.588,6.21,606.7,1.257,258.3,Orchard,3
0.501,62.79,15.7,3.056,587,23.9,45.27,0.12,0.665,20.58,0.528,6.74,586.3,1.617,229.95,Paddy,2
0.305,51.45,7.75,2.321,247.8,22.5,40.43,0.09,0.392,12.43,0.635,5.46,601.9,1.442,718.2,Dryland,1
0.382,40.32,10,1.796,193.2,24.9,36.5,0.2,0.425,13.5,0.904,5.91,1082.4,1.329,350.7,Paddy,2
0.294,52.4,11.4,2.142,175.4,24.7,37.47,0.14,0.414,14.66,1.027,4.98,881.1,1.092,435.75,Paddy,2
0.36,48.93,11.5,1.922,252,24.8,41.21,0.17,0.501,13.69,0.865,5.47,864.8,1.411,529.2,Paddy,2
0.578,74.03,23,3.35,420,27.3,65.48,0.13,1.09,30.97,0.8,5.55,717.6,2.142,284.55,Orchard,3
0.294,49.98,9.17,1.974,237.3,22.8,36.54,0.14,0.403,12.52,0.866,4.82,962.5,1.288,367.5,Dryland,1
0.305,43.47,10.1,1.911,363.3,23.6,35.38,0.15,0.349,12.23,0.765,6.01,711.1,1.349,533.4,Orchard,3
0.807,74.66,23.5,3.833,653.1,26.9,78.27,0.2,1.526,32.91,0.482,5.29,755.2,2.565,771.75,Dryland,1
0.327,39.38,10.9,2.142,302.4,23,45.16,0.14,0.48,11.55,0.872,5.31,848.9,1.524,1051.05,Dryland,1
0.283,43.37,10.7,2.163,191.1,22.5,40.8,0.12,0.48,14.47,1.158,5.22,890.5,1.504,865.2,Dryland,1
0.316,46.2,7.77,1.659,179.6,19.9,21.94,0.08,0.294,10.39,0.44,6.08,491.4,1.318,196.35,Dryland,1
0.425,47.99,11,2.195,191.1,24.6,41.28,0.2,0.447,12.82,0.994,5.6,1050.5,1.401,315,Paddy,2
0.501,44.73,8.97,1.796,274.1,22.9,106.48,0.44,0.371,11.65,1.316,6.57,1036.2,1.473,619.5,Orchard,3
0.305,47.78,9.61,1.733,141.8,23.7,31.17,0.18,0.338,10.97,1.125,5.8,970.2,1.246,280.35,Paddy,2
0.774,64.05,21,3.371,738.2,27,74.5,0.29,1.297,28.06,0.613,6.05,787.6,2.4,686.7,Paddy,2
0.73,71.19,20.9,3.329,513.5,25.5,66.6,0.21,1.188,28.35,0.725,6.14,696.8,2.276,465.15,Paddy,2
0.763,74.34,26.4,3.791,611.1,28.1,84.48,0.21,1.373,36.41,0.572,5.5,641,2.802,814.8,Paddy,2
0.621,56.91,18,2.625,383.3,25.3,54.21,0.25,0.905,21.94,0.744,6.04,1012.4,1.978,360.15,Paddy,2
0.251,40.85,7.78,1.901,159.6,20.9,32.64,0.13,0.338,10.97,0.95,5.2,861.9,1.473,810.6,Paddy,2
0.796,75.5,24.2,3.801,688.8,26.8,75.42,0.18,1.373,30.39,1.14,5.95,1175.2,2.287,492.45,Orchard,3
0.382,48.83,13.2,2.657,260.4,28.9,55.45,0.18,0.578,16.6,1.15,5.66,971.1,1.494,845.25,Paddy,2
0.414,49.14,10.7,2.1,230,21.3,37.04,0.16,0.491,13.5,0.678,5.72,799,1.411,365.4,Orchard,3
0.85,77.18,26.8,3.99,640.5,25.6,83.08,0.22,1.482,31.46,0.809,6.21,840,2.421,736.05,Orchard,3
0.763,75.08,23.8,3.812,698.3,26.7,74.98,0.19,1.308,31.07,1.28,6.08,1207.6,2.359,421.05,Orchard,3
0.621,68.78,18,2.877,317.1,25.2,58.22,0.21,0.916,23.5,1,5.45,786.5,1.71,609,Paddy,2
0.948,67.73,22.9,3.329,714,24.7,71.78,0.21,1.395,30.58,0.417,6.91,555.2,2.462,834.75,Paddy,2
0.992,68.57,24.8,3.444,758.1,28.3,90.84,0.29,1.275,28.35,1.071,7.04,1287.6,2.348,1068.9,Orchard,3
