date,pair,female,male,order,diet,exercise,group,wmass,yolkmass,albmass,yolkperc,lutein,vite
16/9/2012,l,562,549,2,supp,none,supp_none,1.0602,0.2546,0.637,24.0143,47.76838677,63.67885772
17/9/2012,l,562,549,3,supp,none,supp_none,1.1213,0.2774,0.7004,24.7391,47.02875,63.10664683
18/9/2012,l,562,549,4,supp,none,supp_none,1.0842,0.2925,0.6581,26.9784,42.88571571,72.58101392
19/9/2012,l,562,549,5,supp,none,supp_none,1.1076,0.267,0.6516,24.1062,51.23412587,68.03746254
14/9/2012,m,563,557,1,supp,none,supp_none,0.9736,0.2751,0.4716,28.256,39.71268882,102.9632427
16/9/2012,m,563,557,2,supp,none,supp_none,0.9338,0.2903,0.5078,31.088,48.01157738,135.6929563
20/9/2012,m,563,557,3,supp,none,supp_none,0.9554,0.2812,0.4955,29.4327,58.0333631,108.1696429
22/9/2012,m,563,557,4,supp,none,supp_none,0.9101,0.3012,0.3519,33.0953,51.72280876,77.67978088
1/10/2012,n,567,531,1,supp,none,supp_none,0.815,0.1586,0.4596,19.4601,59.43672619,67.27331349
2/10/2012,n,567,531,2,supp,none,supp_none,1.3499,0.3315,0.6866,24.5574,56.30490509,84.81668332
3/10/2012,n,567,531,3,supp,none,supp_none,1.3052,0.3336,0.7723,25.5593,57.24099598,68.71881288
4/10/2012,n,567,531,4,supp,none,supp_none,1.231,0.3459,0.7314,28.0991,51.70549254,64.38905473
5/10/2012,n,567,531,5,supp,none,supp_none,1.322,0.3303,0.7967,24.9849,44.79304175,75.08101392
27/9/2012,o,572,556,1,supp,none,supp_none,0.9725,0.2159,0.5639,22.2005,22.34635095,73.83000997
28/9/2012,o,572,556,2,supp,none,supp_none,1.2461,0.4174,0.4827,33.4965,18.32814925,53.90995025
29/9/2012,o,572,556,3,supp,none,supp_none,1.0169,0.2693,0.5851,26.4824,19.51407555,73.35487078
30/9/2012,o,572,556,4,supp,none,supp_none,1.0683,0.271,0.6392,25.3674,15.72434608,53.64637827
23/9/2012,p,559,541,1,supp,ex,supp_ex,1.0811,0.2906,0.6021,26.88,99.42628887,122.827984
24/9/2012,p,559,541,2,supp,ex,supp_ex,1.1971,0.3053,0.7011,25.5033,82.58395813,99.05832502
25/9/2012,p,559,541,3,supp,ex,supp_ex,1.3018,0.3381,0.6389,25.9717,59.10235821,74.41393035
26/9/2012,p,559,541,4,supp,ex,supp_ex,1.3817,0.3513,0.7122,25.4252,60.64432432,73.44194194
27/9/2012,p,559,541,5,supp,ex,supp_ex,1.6042,0.3962,0.8211,24.6977,62.8053,65.8405
2/9/2012,q,566,555,1,supp,ex,supp_ex,1.1016,0.3155,0.6279,28.6402,50.66685149,79.02920792
3/9/2012,q,566,555,2,supp,ex,supp_ex,1.2874,0.3795,0.7385,29.478,50.5698913,96.80731225
4/9/2012,q,566,555,3,supp,ex,supp_ex,1.3556,0.3543,0.817,26.136,46.31934524,56.66914683
5/9/2012,q,566,555,4,supp,ex,supp_ex,1.4481,0.3617,0.7839,24.9776,43.45826866,77.16517413
7/9/2012,q,566,555,5,supp,ex,supp_ex,1.4944,0.3605,0.9555,24.1234,42.78051102,55.36573146
6/10/2012,r,577,558,1,supp,ex,supp_ex,1.043,0.2535,0.6075,24.3049,67.43002976,104.235119
7/10/2012,r,577,558,2,supp,ex,supp_ex,1.1265,0.3048,0.6141,27.0573,46.76656716,85.2039801
8/10/2012,r,577,558,3,supp,ex,supp_ex,1.1294,0.3167,0.6538,28.0414,32.7647619,92.30803571
9/10/2012,r,577,558,4,supp,ex,supp_ex,1.1878,0.3254,0.6925,27.3952,24.26752485,72.55119284
10/10/2012,r,577,558,5,supp,ex,supp_ex,1.2578,0.367,0.6899,29.1779,34.1818335,112.9291378
