cancov,shannon,logvol,lsnags,ltrees,basarea,slope,aspect,rspres,coneind,resprop
57.65,1.187,81.799,0,131.58,796055.71,-8,224,0,0,0
78.4,1.095,162.721,87.72,504.39,1021602.25,-15,332,0,0,0
78.04,0.624,26.535,21.93,986.85,671337.39,-6,3,0,0,0.42105
80.08,0.564,51.974,0,789.48,482596.84,-19,28,1,2,1
75.23,0.565,187.94,43.86,1293.87,513738.1,-8,9,0,0,0
84.71,0.853,89.036,65.79,1250.01,918474.23,-26,10,0,3,0.6
85.13,1.147,67.544,43.86,526.32,788444.68,-15,316,0,0,0
87.31,1.02,52.193,0,1907.91,603800.44,-27,296,0,0,0
73.44,1.003,34.649,0,526.32,519214.68,-4,4,0,0,0
62,0.916,31.799,43.86,131.58,878496.5,-41,228,0,0,0
72.6,1.609,33.992,0,219.3,553848.73,-12,228,0,0,0
39.67,1.33,66.667,65.79,65.79,292350.58,-24,238,0,0,0
71.56,1.4,82.018,65.79,285.09,772084.47,-26,225,0,0,0
64.23,1.134,31.141,0,504.39,347212.43,-12,340,0,0,0
21.39,1.332,185.747,21.93,87.72,228813.23,-24,239,0,0,0
62.25,0.898,58.334,0,394.74,187270.58,-8,298,0,0,0
