species,plant-id,gyn-width,hood-length,hood-height,horn-reach,slit-length,gap-width,display-flowers-1day,removals-per-flower,insertions-per-flower,fruits,geo_mean,relz-gyn-w,relz-hood-l,relz-hood-h,relz-horn-r,relz-slit-l,relz-gap-w,remins-std-gyn-w,remins-std-hood-l,remins-std-hood-h,remins-std-horn-r,remins-std-slit-l,remins-std-gap-w,std-floral-display-1day,rel-removal-per-flower,rel-insertion-per-flower,fruit-std-gyn-w,fruit-std-hood-l,fruit-std-hood-h,fruit-std-horn-r,fruit-std-slit-l,fruit-std-gap-w,fruit-std-display-size,rel-fruits,notes,total-flower-quantity,poll-duration-per10min(no-flies),poll-visits-per10min(no-flies)
Avir,V244,0.2729,0.0382,0.5742,,0.1368,0.0566,164,3.5692,0.4462,4,0.1692,1.6132,0.2258,3.3944,,0.8087,0.3346,-0.0923,-0.1858,3.2765,,-0.3744,-0.6406,1.0185,1.536,1.4799,-0.0948,-0.1879,3.3344,,-0.3727,-0.6352,0.9694,1.1680,,260,,
Avir,V245,0.2787,0.0308,0.538,,0.1452,0.0568,172,3.2041,0.5102,3,0.1609,1.7319,0.1914,3.3433,,0.9023,0.353,0.4028,-0.9947,2.097,,0.5949,-0.6205,1.1707,1.3788,1.6923,0.3983,-0.9891,2.1362,,0.5895,-0.6152,1.1208,0.8760,,196,,
Avir,V246,0.2729,0.0308,0.5021,,0.1389,0.0586,96,2.5758,0.3788,0,0.1556,1.7538,0.1979,3.2268,,0.8927,0.3766,-0.0895,-0.9911,0.9306,,-0.1369,-0.4033,-0.2751,1.1084,1.2564,-0.092,-0.9855,0.9513,,-0.1369,-0.3999,-0.317,0.0000,,132,,
Avir,V248,0.2652,0.0283,0.4449,,0.1382,0.0661,136,3.5507,0.2174,3,0.1466,1.8094,0.1931,3.0355,,0.9429,0.451,-0.7468,-1.2619,-0.9336,,-0.2135,0.506,0.4858,1.528,0.7211,-0.7467,-1.2537,-0.9424,,-0.2129,0.5014,0.4397,0.8760,,276,,
Avir,V249,0.2686,0.032,0.4752,,0.1533,0.0595,29,2.0000,0.2778,4,0.1582,1.698,0.2023,3.0041,,0.9691,0.3761,-0.4594,-0.8575,0.0527,,1.526,-0.2866,-1.5498,0.8607,0.9214,-0.4605,-0.8532,0.0596,,1.5136,-0.2842,-1.5846,1.1680,,126,,
Avir,V250,0.2614,0.0362,0.4873,,0.1282,0.0612,69,2.0612,0.1837,3,0.1559,1.6764,0.2322,3.1252,,0.8222,0.3925,-1.0683,-0.4061,0.4477,,-1.3668,-0.0894,-0.7888,0.887,0.6092,-1.067,-0.4061,0.4608,,-1.3577,-0.0888,-0.8278,0.8760,,147,,
Avir,V251,0.2665,0.0533,0.4564,,0.1216,0.0608,98,3.1509,0.1698,1,0.1676,1.5905,0.3181,2.7238,,0.7257,0.3629,-0.6358,1.45,-0.5571,,-2.1178,-0.1337,-0.2371,1.356,0.5633,-0.6362,1.4324,-0.5599,,-2.1031,-0.1327,-0.2792,0.2920,,318,,
Avir,V252,0.2702,0.0377,0.4885,,0.158,0.0601,108,2.6818,0.0909,2,0.1675,1.6136,0.2251,2.9173,,0.9436,0.3589,-0.3228,-0.2436,0.4879,,2.0663,-0.2222,-0.0468,1.1541,0.3015,-0.3244,-0.2451,0.5016,,2.0499,-0.2204,-0.09,0.5840,,220,,
Avir,V253,0.2594,0.0439,0.504,,0.1517,0.0478,125,2.9423,0.2692,4,0.1718,1.5101,0.2556,2.9341,,0.8831,0.2783,-1.2419,0.4317,0.9902,,1.3421,-1.6988,0.2766,1.2662,0.893,-1.2399,0.4237,1.0119,,1.3311,-1.684,0.2316,1.1680,,208,,
Avir,V254,0.2767,0.0325,0.482,,0.1394,0.0571,71,2.9688,0.2188,3.5,0.1568,1.7649,0.2073,3.0743,,0.8891,0.3642,0.2377,-0.8033,0.2741,,-0.0794,-0.5763,-0.7508,1.2776,0.7256,0.2339,-0.7995,0.2844,,-0.0798,-0.5714,-0.79,1.0220,,128,,
Avir,V255,0.28,0.0419,0.4126,,0.1489,0.0545,,0.7544,0.1228,,0.1639,1.7089,0.2557,2.5181,,0.9088,0.3326,0.5123,0.206,-1.984,,1.0164,-0.9001,-0.9981,0.3246,0.4073,,,,,,,,,Plant eaten,,,
Avir,V256,0.2553,0.0366,0.45,,0.1349,0.0536,68,3.4688,0.2969,2,0.1543,1.6543,0.2372,2.9159,,0.8741,0.3473,-1.589,-0.3628,-0.7665,,-0.589,-0.9987,-0.8078,1.4927,0.9847,-1.5857,-0.3631,-0.7726,,-0.5856,-0.9901,-0.8467,0.5840,,128,,
Avir,V257,0.2652,0.0362,0.4764,,0.1374,0.0571,178,3.6029,0.5147,5.5,0.1583,1.675,0.2286,3.0089,,0.8678,0.3606,-0.7439,-0.4025,0.0918,,-0.3055,-0.5843,1.2849,1.5505,1.7072,-0.7439,-0.4025,0.0993,,-0.3042,-0.5793,1.2343,1.6060,,204,,
Avir,V258,0.2926,0.0499,0.4367,,0.1374,0.0599,187,2.6935,0.2419,7,0.172,1.7007,0.29,2.5383,,0.7986,0.3482,1.5921,1.078,-1.1994,,-0.3093,-0.2423,1.4561,1.1591,0.8025,1.583,1.064,-1.2124,,-0.308,-0.2404,1.4046,2.0439,,310,,
Avir,V259,0.2745,0.0381,0.404,,0.1292,0.0648,226,1.7263,0.2105,3,0.1529,1.7958,0.2493,2.643,,0.8452,0.4239,0.0471,-0.1967,-2.265,,-1.248,0.3491,2.1981,0.7429,0.6983,0.044,-0.1986,-2.2948,,-1.2398,0.3459,2.1424,0.8760,,226,,
Avir,V260,0.2863,0.0475,0.5146,,0.1414,0.0559,144,2.0899,0.3820,4,0.1774,1.6142,0.2678,2.9014,,0.7972,0.3152,1.0544,0.8216,1.3375,,0.1582,-0.7211,0.638,0.8993,1.2671,1.0474,0.81,1.3646,,0.156,-0.7149,0.5911,1.1680,,178,,
Avir,V261,0.2798,0.0334,0.4763,,0.1359,0.0546,156,0.6885,0.0328,4,0.1568,1.7841,0.213,3.0371,,0.8666,0.3482,0.4967,-0.7058,0.0885,,-0.4779,-0.882,0.8663,0.2963,0.1088,0.4918,-0.7029,0.096,,-0.4754,-0.8745,0.8181,1.1680,,305,,
