species,plant-id,gyn-width,hood-length,hood-height,horn-reach,slit-length,gap-width,display-flowers-1day,removals-per-flower,insertions-per-flower,fruits,geo_mean,relz-gyn-w,relz-hood-l,relz-hood-h,relz-horn-r,relz-slit-l,relz-gap-w,remins-std-gyn-w,remins-std-hood-l,remins-std-hood-h,remins-std-horn-r,remins-std-slit-l,remins-std-gap-w,std-floral-display-1day,rel-removal-per-flower,rel-insertion-per-flower,fruit-std-gyn-w,fruit-std-hood-l,fruit-std-hood-h,fruit-std-horn-r,fruit-std-slit-l,fruit-std-gap-w,fruit-std-display-size,rel-fruits,notes,total-flower-quantity,poll-duration-per10min(no-flies),poll-visits-per10min(no-flies)
Asyr,AS25,0.2319,0.3043,0.5629,0.2024,0.2099,0.0716,54,1.6545,0.2000,7,0.3022,0.7674,1.007,1.8628,0.6698,0.6946,0.2369,1.1021,-0.4775,1.246,-0.0467,1.7396,0.8842,-0.808,0.8206,0.477,1.0614,-0.5014,1.1861,-0.1362,1.6943,0.8732,-0.8411,1.1760,,165,0.039,0.773
Asyr,AS26,0.223,0.3762,0.5371,0.2473,0.1905,0.0585,129,3.1692,0.5923,6,0.3044,0.7326,1.2359,1.7646,0.8125,0.6259,0.1922,0.3504,1.2329,0.6551,1.2837,0.0735,-0.2298,0.2837,1.5718,1.4127,0.3058,1.1708,0.6025,1.2658,-0.0052,-0.2361,0.2324,1.0080,,195,3.287,3.721
Asyr,AS27,0.2247,0.3172,0.4504,0.1743,0.1965,0.027,199,3.0000,0.5089,15,0.2818,0.7973,1.1255,1.5982,0.6185,0.6972,0.0958,0.494,-0.1706,-1.3305,-0.8793,0.5888,-2.9085,1.3025,1.4879,1.2139,0.4502,-0.2014,-1.3585,-1.0136,0.5204,-2.9035,1.2344,2.5200,,336,2.823,7.207
Asyr,AS28,0.2285,0.4364,0.5487,0.2483,0.1863,0.0715,102,3.5294,0.8725,13,0.3177,0.7191,1.3734,1.7269,0.7814,0.5863,0.225,0.815,2.665,0.9208,1.3133,-0.2872,0.8757,-0.1093,1.7505,2.0811,0.7728,2.5709,0.8649,1.297,-0.3732,0.8647,-0.1541,2.1840,,306,4.750,8.824
Asyr,AS29,0.2251,0.3767,0.598,0.2863,0.1952,0.0649,246,2.2195,0.1646,20,0.3154,0.7137,1.1943,1.8959,0.9077,0.6189,0.2058,0.5278,1.2448,2.0499,2.4392,0.4771,0.3144,1.9866,1.1008,0.3927,0.4841,1.1824,1.9799,2.4836,0.4065,0.3058,1.9072,3.3600,,410,0.606,0.909
Asyr,AS30,0.2199,0.3068,0.4943,0.2145,0.2009,0.0775,81,0.4286,0.4675,7,0.2861,0.7686,1.0724,1.7277,0.7497,0.7022,0.2709,0.0886,-0.418,-0.3251,0.3118,0.9666,1.3859,-0.415,0.2126,1.1151,0.0427,-0.4433,-0.3656,0.2416,0.9059,1.3728,-0.4547,1.1760,,77,9.120,1.993
Asyr,AS31,0.2237,0.3089,0.527,0.2288,0.1948,0.0792,132,0.6222,0.4148,5,0.2902,0.7708,1.0644,1.8159,0.7884,0.6712,0.2729,0.4095,-0.368,0.4238,0.7355,0.4428,1.5305,0.3273,0.3086,0.9894,0.3653,-0.3944,0.3741,0.6881,0.3715,1.5167,0.2754,0.8400,,180,3.907,5.008
Asyr,AS32,0.225,0.3174,0.4717,0.199,0.1841,0.049,,2.7590,0.3976,,0.2806,0.8018,1.131,1.6809,0.7091,0.656,0.1746,0.5193,-0.1658,-0.8426,-0.1474,-0.4762,-1.0376,-0.4004,1.3684,0.9483,,,,,,,,,Ramet died,,,
Asyr,AS33,0.2145,0.3897,0.5057,0.2766,0.1977,0.0561,149,2.5704,0.1926,6,0.3024,0.7094,1.2889,1.6725,0.9148,0.6539,0.1855,-0.3675,1.5541,-0.064,2.1518,0.6918,-0.4339,0.5748,1.2748,0.4594,-0.4158,1.4848,-0.1077,2.1807,0.6255,-0.4393,0.5187,1.0080,,180,9.911,1.775
Asyr,AS34,0.2126,0.2586,0.5233,0.1739,0.1975,0.053,115,3.2655,0.8319,9,0.2746,0.7743,0.9419,1.906,0.6334,0.7193,0.193,-0.528,-1.5646,0.3391,-0.8911,0.6746,-0.6975,0.0799,1.6196,1.9841,-0.5771,-1.5643,0.2904,-1.0261,0.608,-0.7018,0.032,1.5120,,169.5,12.073,5.446
Asyr,AS35,0.2315,0.3653,0.5361,0.2184,0.1986,0.0521,107,3.1810,0.9048,12,0.308,0.7515,1.1859,1.7404,0.709,0.6447,0.1691,1.0683,0.9736,0.6322,0.4274,0.7691,-0.774,-0.0365,1.5776,2.158,1.0275,0.9173,0.5799,0.3634,0.7044,-0.778,-0.0825,2.0160,,245,11.050,7.500
Asyr,AS36,0.1988,0.3655,0.4897,0.2284,0.2006,0.05,72,0.4667,0.4444,3,0.2907,0.684,1.2575,1.6848,0.7858,0.6901,0.172,-1.6935,0.9784,-0.4304,0.7237,0.9409,-0.9526,-0.546,0.2315,1.06,-1.7487,0.9219,-0.4696,0.6757,0.8796,-0.9559,-0.5835,0.5040,,120,0.000,0.000
Asyr,AS37,0.2157,0.3055,0.5633,0.18,0.196,0.0557,45,4.0000,0.4667,3,0.2921,0.7386,1.046,1.9287,0.6163,0.6711,0.1907,-0.2661,-0.4489,1.2552,-0.7104,0.5458,-0.4679,-0.939,1.9839,1.1131,-0.3139,-0.4735,1.1951,-0.8356,0.4766,-0.4732,-0.97,0.5040,,180,0.840,2.479
Asyr,AS39,0.2413,0.3285,0.4883,0.185,0.1962,0.0514,94,3.0000,0.7300,4,0.2952,0.8174,1.1128,1.6541,0.6267,0.6646,0.1741,1.896,0.0982,-0.4625,-0.5622,0.563,-0.8336,-0.2258,1.4879,1.7411,1.8595,0.0614,-0.5013,-0.6795,0.4941,-0.8373,-0.2686,0.6720,,150,1.838,4.967
Asyr,AS40,0.2338,0.3254,0.479,0.2006,0.1781,0.0502,21,2.0909,0.2273,5,0.2838,0.8237,1.1464,1.6876,0.7067,0.6275,0.1769,1.2626,0.0245,-0.6755,-0.1,-0.9914,-0.9356,-1.2883,1.037,0.5421,1.2227,-0.0107,-0.7116,-0.1924,-1.0915,-0.9389,-1.3135,0.8400,,44,0.000,0.000
Asyr,AS41,0.2102,0.2832,0.5662,0.2242,0.1778,0.0649,66,2.6944,0.3194,4,0.2782,0.7555,1.0179,2.035,0.8058,0.639,0.2333,-0.7307,-0.9794,1.3216,0.5992,-1.0172,0.3144,-0.6333,1.3363,0.7619,-0.7809,-0.9922,1.2607,0.5445,-1.1178,0.3058,-0.6694,0.6720,,144,3.971,5.294
Asyr,AS42,0.2223,0.4109,0.5334,0.2279,0.1956,0.0779,78,3.9867,0.4800,11,0.3124,0.7115,1.3151,1.7072,0.7294,0.626,0.2493,0.2913,2.0584,0.5704,0.7089,0.5115,1.4199,-0.4587,1.9772,1.1449,0.2464,1.9778,0.5188,0.66,0.4416,1.4067,-0.4976,1.8480,,150,1.386,1.980
Asyr,AS44,0.2097,0.3028,0.4873,0.2237,0.1787,0.0551,125,2.4833,0.4000,8,0.2727,0.769,1.1104,1.787,0.8203,0.6553,0.2021,-0.7729,-0.5132,-0.4854,0.5844,-0.9399,-0.5189,0.2254,1.2316,0.954,-0.8233,-0.5363,-0.5239,0.5289,-1.039,-0.524,0.1752,1.3440,,200,0.000,0.000
Asyr,AS45,0.2333,0.3383,0.5469,0.2185,0.1894,0.0554,94,2.3587,0.2609,1,0.3007,0.7759,1.1251,1.8188,0.7267,0.6299,0.1842,1.2204,0.3314,0.8796,0.4303,-0.021,-0.4934,-0.2258,1.1698,0.6222,1.1803,0.2893,0.8242,0.3665,-0.1016,-0.4986,-0.2686,0.1680,,92,0.000,0.000
Asyr,AS47,0.2119,0.3792,0.5237,0.2152,0.1671,0.0812,66,2.4394,0.3485,2,0.2896,0.7318,1.3095,1.8085,0.7432,0.577,0.2804,-0.5871,1.3043,0.3483,0.3326,-1.9361,1.7006,-0.6333,1.2099,0.8312,-0.6365,1.2406,0.2994,0.2635,-2.0552,1.6861,-0.6694,0.3360,,66,0.000,0.000
Asyr,AS48,0.2026,0.3082,0.4613,0.1211,0.1703,0.075,,3.3836,0.2603,,0.2646,0.7655,1.1646,1.7431,0.4576,0.6435,0.2834,-1.3726,-0.3847,-1.0808,-2.4555,-1.6613,1.1733,-0.5751,1.6781,0.6208,,,,,,,,,Ramet died,,,
Asyr,AS49,0.1927,0.2647,0.4686,0.2135,0.1735,0.064,124,2.0645,0.3710,3,0.2538,0.7594,1.0431,1.8466,0.8413,0.6837,0.2522,-2.2087,-1.4195,-0.9136,0.2822,-1.3865,0.2379,0.2109,1.0239,0.8848,-2.2666,-1.4224,-0.9468,0.2104,-1.4945,0.2296,0.1609,0.5040,,124,3.874,0.772
Asyr,AS50,0.233,0.3239,0.5399,0.1996,0.1983,0.0726,68,2.4000,0.7538,1,0.2998,0.7772,1.0803,1.8008,0.6657,0.6614,0.2422,1.195,-0.0112,0.7193,-0.1296,0.7433,0.9692,-0.6042,1.1903,1.798,1.1548,-0.0456,0.6658,-0.2236,0.6781,0.9579,-0.6407,0.1680,,65,0.000,0.000
Atub,FC01,0.147,0.2269,0.5737,0.177,0.18,0.0175,61,0.5000,0.3333,2,0.2423,0.6068,0.9366,2.3681,0.7306,0.743,0.0722,-1.1778,-0.8541,-0.5509,0.107,-0.998,-2.8318,-0.1152,0.4503,1.818,-1.2204,-0.8624,-0.5263,0.1613,-0.9643,-3.048,-0.116,0.6286,,84,0.000,0.000
Atub,FC02,0.1547,0.2613,0.5765,0.1923,0.2082,0.0282,,0.0000,0.0000,0,0.2639,0.5862,0.9901,2.1843,0.7286,0.7889,0.1068,0.4998,0.0883,-0.4722,0.7193,2.5949,-1.6535,-0.755,0,0,0.4422,0.0741,-0.4492,0.8029,2.4532,-1.8214,-0.7595,0.0000,,,,
Atub,FC03,0.1515,0.2505,0.5535,0.1751,0.1845,0.0484,,3.2143,0.2857,5,0.2495,0.6072,1.004,2.2184,0.7018,0.7395,0.194,-0.584,-0.2076,-1.1181,0.031,-0.4247,0.5709,-1.1893,2.8949,1.5583,-0.6319,-0.2199,-1.083,0.0816,-0.4189,0.4942,-1.1962,1.5714,,,,
Atub,FC04,0.1488,0.226,0.6345,0.1799,0.1864,0.0457,112,0.5893,0.3304,5,0.2511,0.5925,0.8999,2.5266,0.7164,0.7422,0.182,-0.6406,-0.8788,1.1566,0.2231,-0.1826,0.2736,1.0503,0.5307,1.8017,-0.688,-0.8869,1.1493,0.2829,-0.1887,0.1847,1.0562,1.5714,,403.2,10.982,1.997
Atub,FC05,0.1506,0.3285,0.6397,0.1631,0.1998,0.0494,133,1.8532,0.4495,10,0.282,0.5341,1.1649,2.2685,0.5784,0.7085,0.1752,-0.7141,1.9294,1.3026,-0.4492,1.5247,0.681,1.5303,1.6691,2.4517,-0.7608,1.9034,1.2926,-0.4217,1.4352,0.6089,1.5388,3.1429,,358.14,2.985,6.401
Atub,FC06,0.1459,0.2233,0.5629,0.1399,0.1908,0.0443,159,1.8729,0.1695,5,0.2432,0.5999,0.9181,2.3144,0.5752,0.7845,0.1821,-1.4501,-0.9528,-0.8542,-1.3775,0.378,0.1194,2.1244,1.6868,0.9244,-1.4903,-0.9604,-0.824,-1.3946,0.3446,0.0242,2.1364,1.5714,,236,5.990,9.251
Atub,FC07,0.1515,0.2239,0.5892,0.1649,0.1806,0.0367,43,0.7250,0.0000,2,0.2451,0.6181,0.9135,2.4038,0.6728,0.7368,0.1497,0.6213,-0.9363,-0.1156,-0.3772,-0.9216,-0.7175,-0.5265,0.653,0,0.5627,-0.9441,-0.0992,-0.3462,-0.8915,-0.847,-0.5297,0.6286,,53.33,0.000,0.000
Atub,FC08,0.1582,0.2131,0.5859,0.1891,0.177,0.0534,125,1.2396,0.0521,5,0.2432,0.6506,0.8764,2.4095,0.7777,0.7279,0.2196,0.8061,-1.2322,-0.2083,0.5912,-1.3803,1.1215,1.3474,1.1164,0.2841,0.7458,-1.2381,-0.1901,0.6687,-1.3278,1.0674,1.355,1.5714,,220.8,7.960,8.889
Atub,FC09,0.1523,0.2547,0.541,0.187,0.1811,0.0374,16,1.9167,0.2500,2,0.2483,0.6134,1.0258,2.1789,0.7531,0.7294,0.1506,-0.6604,-0.0925,-1.4692,0.5072,-0.8579,-0.6404,-1.1435,1.7262,1.3635,-0.7076,-0.1056,-1.4275,0.5807,-0.8309,-0.7668,-1.1502,0.6286,,90,0.998,0.383
Atub,FC10,0.1514,0.2467,0.6445,0.1776,0.1806,0.04,40,1.4063,0.2500,6,0.2568,0.5896,0.9607,2.5099,0.6916,0.7033,0.1558,-1.4407,-0.3117,1.4374,0.131,-0.9216,-0.3541,-0.5951,1.2665,1.3635,-1.481,-0.3234,1.4249,0.1864,-0.8915,-0.4687,-0.5986,1.8857,,138.67,0.000,0.000
Atub,FC15,0.1528,0.3525,0.5912,0.182,0.1781,0.0408,,1.7692,0.0769,2,0.2744,0.5568,1.2845,2.1543,0.6632,0.649,0.1487,-0.2146,2.5869,-0.0594,0.3071,-1.2401,-0.266,-1.2121,1.5934,0.4195,-0.2658,2.5567,-0.044,0.371,-1.1945,-0.377,-1.2192,0.6286,,,,
Atub,FC16,0.1469,0.2427,0.4673,0.1453,0.1808,0.0475,34,2.6176,0.3235,2,0.2343,0.627,1.036,1.9947,0.6202,0.7718,0.2028,1.2019,-0.4213,-3.5389,-1.1615,-0.8961,0.4718,-0.7322,2.3576,1.7645,1.1381,-0.4323,-3.4586,-1.1682,-0.8673,0.3911,-0.7365,0.6286,,48.57,1.997,0.532
Atub,FC17,0.1505,0.1964,0.6062,0.1745,0.1771,0.0369,26,0.6154,0.0385,3,0.2373,0.6341,0.8275,2.5541,0.7352,0.7462,0.1555,-0.9403,-1.6897,0.3618,0.007,-1.3675,-0.6955,-0.915,0.5542,0.2098,-0.985,-1.6927,0.3694,0.0564,-1.3157,-0.8241,-0.9204,0.9429,,29.71,0.000,0.000
Atub,FC18,0.1546,0.2778,0.5965,0.2083,0.1819,0.0392,,1.6452,0.0968,,0.2613,0.5917,1.0633,2.283,0.7972,0.6962,0.15,0.676,0.5404,0.0894,1.3595,-0.756,-0.4422,-0.6865,1.4817,0.5278,,,,,,,,,Ramets died,,,
Atub,FC19,0.157,0.2683,0.5749,0.1942,0.1764,0.0419,36,1.1111,0.0556,3,0.2557,0.6141,1.0495,2.2487,0.7596,0.69,0.1639,0.5657,0.2801,-0.5172,0.7953,-1.4567,-0.1449,-0.6865,1.0007,0.303,0.5076,0.2646,-0.4932,0.8826,-1.4005,-0.2509,-0.6905,0.9429,,90,0.000,0.000
Atub,FC20,0.1459,0.2839,0.5949,0.1724,0.19,0.0296,,1.0303,0.2626,,0.2616,0.5578,1.0853,2.2743,0.6591,0.7264,0.1132,-1.517,0.7075,0.0445,-0.077,0.2761,-1.4994,1.2789,0.9279,1.4323,,,,,,,,,Ramets died,,,
Atub,FC21,0.1521,0.2347,0.5979,0.1697,0.1769,0.0552,67,0.6212,0.2424,9,0.2479,0.6136,0.9468,2.412,0.6846,0.7136,0.2227,-0.2042,-0.6404,0.1287,-0.1851,-1.393,1.3197,0.022,0.5595,1.3222,-0.2555,-0.6501,0.1406,-0.1449,-1.3399,1.2738,0.0219,2.8286,,462,0.000,0.000
Atub,FC22,0.1556,0.2779,0.5651,0.1369,0.1946,0.0484,30,0.4000,0.2333,6,0.2626,0.5925,1.0583,2.152,0.5213,0.7411,0.1843,1.2857,0.5431,-0.7924,-1.4976,0.8621,0.5709,-0.8236,0.3603,1.2726,1.2212,0.5259,-0.7633,-1.5205,0.8051,0.4942,-0.8284,1.8857,,225,1.060,0.035
Atub,FC23,0.1478,0.2034,0.5248,0.1264,0.1829,0.0452,198,0.6034,0.2701,5,0.2318,0.6377,0.8776,2.2643,0.5454,0.7891,0.195,-0.9893,-1.4979,-1.9241,-1.9178,-0.6285,0.2185,3.0157,0.5435,1.4732,-1.0336,-1.5021,-1.874,-1.9608,-0.6128,0.1274,3.0327,1.5714,,957,4.000,3.633
Atub,FC25,0.1542,0.2516,0.5587,0.1621,0.1869,0.0418,28,0.4815,0.1481,3,0.2523,0.6112,0.9973,2.2145,0.6425,0.7408,0.1657,1.3338,-0.1774,-0.9721,-0.4892,-0.1189,-0.1559,-0.8693,0.4336,0.808,1.2689,-0.19,-0.9397,-0.4636,-0.1281,-0.2624,-0.8744,0.9429,,135,0.000,0.000
Atub,FC26,0.1558,0.2375,0.5678,0.1902,0.1833,0.0563,118,0.5116,0.2326,3,0.2491,0.6254,0.9534,2.2793,0.7635,0.7358,0.226,0.8513,-0.5637,-0.7166,0.6352,-0.5776,1.4409,1.1875,0.4608,1.2683,0.7906,-0.5738,-0.6889,0.7149,-0.5643,1.3999,1.1941,0.9429,,322.5,1.990,0.431
Atub,FC28,0.1494,0.193,0.6125,0.164,0.1998,0.0306,44,0.6818,0.2727,1,0.2437,0.613,0.7919,2.5131,0.6729,0.8198,0.1256,-1.0779,-1.7829,0.5388,-0.4132,1.5247,-1.3893,-0.5037,0.6141,1.4874,-1.1214,-1.7852,0.543,-0.3839,1.4352,-1.5463,-0.5067,0.3143,,176,0.998,1.531
Atub,FC29,0.1551,0.2937,0.584,0.1544,0.1802,0.0375,144,0.5957,0.2624,3,0.2631,0.5894,1.1162,2.2194,0.5868,0.6848,0.1425,0.037,0.976,-0.2616,-0.7973,-0.9726,-0.6294,1.7816,0.5366,1.4312,-0.0164,0.9561,-0.2425,-0.7865,-0.94,-0.7553,1.7916,0.9429,,705,4.967,6.010
Atub,FC30,0.1516,0.2886,0.6315,0.1822,0.1865,0.0466,82,0.5926,0.2593,3,0.2679,0.5658,1.0772,2.357,0.68,0.6961,0.1739,-0.1467,0.8362,1.0723,0.3151,-0.1699,0.3727,0.3648,0.5337,1.414,-0.1985,0.8172,1.0666,0.3794,-0.1765,0.2879,0.3667,0.9429,,162,0.998,1.631
Atub,FC31,0.1525,0.2476,0.5856,0.1752,0.1908,0.0354,,0.4583,0.2083,,0.2549,0.5984,0.9715,2.2977,0.6874,0.7486,0.1389,0.6411,-0.287,-0.2167,0.035,0.378,-0.8607,-0.9607,0.4128,1.1362,,,,,,,,,Ramets died,,,
Atub,FC35,0.1416,0.3051,0.6434,0.1304,0.1845,0.0591,,0.3077,0.0769,,0.2676,0.5291,1.1401,2.4043,0.4873,0.6894,0.2208,-1.3823,1.2883,1.4065,-1.7577,-0.4247,1.7492,-1.1893,0.2771,0.4195,,,,,,,,,Ramets died,,,
Atub,FC36,0.1494,0.2873,0.5702,0.1676,0.1957,0.0525,22,0.3182,0.2273,1,0.2631,0.5679,1.0921,2.1675,0.6371,0.7439,0.1996,-0.2759,0.8006,-0.6492,-0.2691,1.0023,1.0224,-1.0064,0.2866,1.2395,-0.3265,0.7818,-0.6228,-0.2329,0.9384,0.9643,-1.0123,0.3143,,95.33,0.000,0.000
