spp,svl,hw,hl,td,ew,tl,sl,fl,end,nsd,iod,ind,dsa,,,,,,,,,,
rpi,63.66,19.08,18.56,3.8,6.37,27.57,35.08,43.74,4.07,5.64,2.6,3.78,1.07970301,,,,,,,,,,
rpi,61.43,18.06,16.45,4.45,7.15,29.8,35.4,49.99,4.24,5.02,3.95,3.85,1.16218195,,,,,,,,,,
rpi,61.58,20.38,19.32,4.43,5.19,30.6,34.11,43.24,3.75,5.22,3.9,3.98,1.111151898,,,,,,,,,,
rpi,60.29,18.69,18.91,3.91,6.68,28.63,35.45,45.87,3.83,4.69,4.21,3.84,1.033789548,,,,,,,,,,
rpi,60.26,19.61,17.67,4.04,5.46,26.81,36.98,50.4,4.04,4.94,3.13,4.41,1.176474222,,,,,,,,,,
rpi,71.21,21.05,19.21,5.08,6.05,30.75,35.93,54.01,4.93,4.33,4.04,5.24,1.159683891,,,,,,,,,,
rpi,63.81,18.99,16.57,4.32,5.94,31.1,36.06,50.5,4.39,5.95,4.67,3.65,1.220380863,,,,,,,,,,
rpi,59.91,19.37,17.7,4.41,6.29,27.98,35.81,49.22,4.25,4.53,2.63,4.19,1.157971186,,,,,,,,,,
rpi,57.08,18.68,17.19,3.64,7.14,33.01,34.67,48.28,4.21,3.75,2.36,4.54,1.148818995,,,,,,,,,,
rpi,57.32,18.36,17.26,3.84,5.88,29.58,33.9,48.84,4.55,4.86,3.66,3.67,1.121604141,,,,,,,,,,
rpi,68.41,22.94,20.03,5.12,7.37,34.59,37.14,55.34,4.06,5.68,4,4.28,1.219447568,,,,,,,,,,
rpi,57.87,18.95,17.38,3.57,6.77,34.17,35.53,51.79,5.33,4.63,2.93,4.17,1.153176278,,,,,,,,,,
rpi,42.25,13.75,13.3,3,4.4,23.84,25.89,38.67,3.81,4.07,2.92,3.27,1.086491749,,,,,,,,,,
rpi,50.47,15.48,17.12,3.64,5.49,25.6,31.06,45.52,3.77,4.74,2.95,5.07,0.938242856,,,,,,,,,,
rpi,48.81,14.1,14.48,3.57,6.02,26.59,30.61,42.41,4.38,4.31,3.02,4.44,1.017024893,,,,,,,,,,
rsph,69.92,21.9,24.1,5.64,6.08,40,40.43,55.03,6.01,4.59,3.28,4.43,0.943300203,,,,,,,,,,
rsph,84.1,25.83,27.45,6.54,9.51,48.22,49.27,69.84,6.85,7.04,4.44,5.6,0.97969608,,,,,,,,,,
rsph,77.44,24.65,24.57,6.46,8.52,45.19,48.06,66.79,7.06,5.12,4.68,5.15,1.050959305,,,,,,,,,,
rsph,74.18,23.69,28.02,6.43,8.95,47.86,46.08,67.11,7.31,5.56,3.78,5.01,0.872919514,,,,,,,,,,
rsph,44.52,15.1,18.24,3.59,6.17,26.5,29.91,42.46,4.12,3.48,2.73,4.09,0.853524104,,,,,,,,,,
rsph,70.67,23.98,27.37,6.33,8.1,42.57,45.2,65.76,7.44,5.54,4.09,5.16,0.906903112,,,,,,,,,,
rsph,51.89,16.24,18.49,4.36,6.72,25.31,30.97,47.96,4.31,3.41,2.57,3.13,0.909318711,,,,,,,,,,
rsph,42.65,12.77,15.07,3.15,5.02,20.12,24.9,36.57,3.59,2.77,3.16,2.9,0.875029128,,,,,,,,,,
rsph,44.46,14.85,17.22,4.14,5.71,23.69,28.24,41.31,4.8,3.37,3.48,3.36,0.891610724,,,,,,,,,,
rsph,69.59,19.36,20.56,4.93,7.25,36.36,36.5,55.42,5.29,3.44,4.2,4.14,0.980433495,,,,,,,,,,
rsph,63.63,19.81,21.79,4.35,6.95,32.11,37.83,52.53,5.46,3.97,3.71,4.7,0.943770514,,,,,,,,,,
rsph,59.45,17.92,18.91,4.89,6.63,31.16,35.69,49.52,4.82,2.69,3.85,3.48,0.987254834,,,,,,,,,,
rsph,56.88,18.02,20.9,3.95,7.11,30.77,34.36,50.28,4.77,4.01,3.3,4.38,0.891424108,,,,,,,,,,
rsph,58.62,16.65,19.78,4.37,4.65,27.36,32.59,48.59,5.23,4.79,3.41,3.97,0.868829705,,,,,,,,,,
rsph,58.87,17.61,21.12,4.27,6.51,29.99,32.31,45.66,4.13,5.13,3.72,3.38,0.860071745,,,,,,,,,,
rsph,49.58,16.16,17.93,4.52,4.23,26.54,29.11,44.21,4.16,4.76,3.03,3.85,0.934967361,,,,,,,,,,
rsph,49.23,15.84,17.82,4.16,4.54,24.53,28.04,44.62,3.66,3.36,2.91,3.18,0.921107983,,,,,,,,,,
rsph,56.51,17.77,21.21,5.15,5.96,29.6,31,45.58,4.37,4.2,3.45,3.75,0.864480745,,,,,,,,,,
rsph,52.1,16.54,17.84,4.64,4.83,27.65,31.89,47.8,3.4,4.03,2.62,3.53,0.964028851,,,,,,,,,,
rsph,65.94,20.46,19.92,4.9,4.33,29.39,39.57,57.97,5.03,3.29,4.67,3.61,1.078643697,,,,,,,,,,
rsph,77.12,24.47,24.26,6.3,5.08,42.37,46.02,65.35,5.93,4.56,5.24,4.66,1.057207402,,,,,,,,,,
rsph,62.54,19.94,20.64,5.15,5.01,27.9,33.66,51.73,4.25,4.21,4.53,3.93,1.008252645,,,,,,,,,,
rsph,63.4,18.79,20.37,4.97,4.64,29.56,36.38,51.06,4.88,3.54,4.31,3.72,0.958733688,,,,,,,,,,
rsph,61.19,19.71,20.48,5.54,4.1,30.49,35.64,53.8,3.78,3.73,4.51,4.04,1.004048888,,,,,,,,,,
rsph,60.69,20.85,19.58,4.89,4.23,28.78,36.08,51.82,4.7,3.7,4.91,4.03,1.122939914,,,,,,,,,,
rsph,57.54,17.4,20.09,3.88,4.25,27.66,33.77,49.39,4.97,3.12,3.86,3.4,0.895750368,,,,,,,,,,
rsph,57.52,19.36,18.21,5.12,4.29,30.51,33.29,51.42,3.8,2.83,4.5,4.16,1.12092042,,,,,,,,,,
rsph,71.12,22.94,21.79,5.12,4.63,33.7,39.14,57.2,5.45,4.28,5.07,4.97,1.108694114,,,,,,,,,,
rsph,62.19,17.69,18.55,4.19,4.08,25.62,34.3,50.95,4.75,3.94,3.72,4.11,0.994065459,,,,,,,,,,
rsph,54.8,17.65,17.89,4.3,6.91,26.5,29.82,47.5,4.68,3.59,2.81,3.49,1.031741207,,,,,,,,,,
rsph,57.66,18.34,19.17,4.58,6.71,31.82,34.22,50.05,4.83,3.42,3.57,2.96,0.997553303,,,,,,,,,,
rsph,61.34,16.73,20.98,5.07,5.68,32.98,36.34,53.46,5.09,4.44,4.38,3.77,0.820226218,,,,,,,,,,
rsph,58.5,18.16,19.15,4.86,7.57,30.31,32.27,43.52,4.59,4,3.81,4.08,0.987999979,,,,,,,,,,
rsph,46.51,13.63,16.68,3.55,5.1,23.78,25.47,38.75,3.56,3.58,3.18,2.15,0.84178044,,,,,,,,,,
rsph,55.33,17.31,17.75,4.16,6.11,27.91,29.75,46.46,4.34,3.76,4.16,3.63,1.018690319,,,,,,,,,,
rsph,48.11,15.61,18.21,3.54,5,26.56,28.18,40.38,4.33,3.48,3.29,2.73,0.885908917,,,,,,,,,,
rsph,53.42,18.25,20.63,4.32,6.35,30.13,31.95,47.93,4.12,4.25,2.96,3.3,0.916361019,,,,,,,,,,
rsph,57.92,17.74,21.76,4.5,6.95,31.06,33.82,50.37,4.54,3.97,3.75,3.37,0.83971137,,,,,,,,,,
rsph,44.57,13.06,17.01,4.12,3.86,23.31,20.91,42.58,3.91,3.88,2.91,3.79,0.78801479,,,,,,,,,,
rsph,48.73,14.23,17,4.12,3.87,26.96,28.92,42.82,4.02,4.75,2.69,3.16,0.863650973,,,,,,,,,,
rsph,49.63,16.46,18.36,4.28,4.47,27.59,30.23,45.09,3.81,4.31,2.99,3.35,0.929629203,,,,,,,,,,
rsph,48.86,15.27,17.78,4.62,5.35,28.04,28.83,44.35,4.41,4.16,2.9,3.28,0.887689989,,,,,,,,,,
rsph,42.69,13.39,16.59,3.51,3.64,22.45,24,39.36,3.98,2.85,2.8,3.2,0.830800906,,,,,,,,,,
rsph,42.47,12.65,14.77,3.3,2.82,22,23.9,37.38,3.89,3.03,2.9,2.52,0.8850728,,,,,,,,,,
rsph,55.53,17.04,18.41,4.76,5.94,26.28,29.7,45.12,4.27,4.78,3.84,2.86,0.962284312,,,,,,,,,,
rsph,64.89,20.17,21.81,5.59,5.37,32.8,37.1,54.67,5.32,4.3,4.42,3.09,0.961405885,,,,,,,,,,
