rh,colour,timepup,subst,sex,weight,colnum
low,green,26,leaf,female,0.2052,1
low,green,26,leaf,male,0.1853,1
low,green,26,leaf,female,0.1517,1
low,green,26,off-leaf,male,0.151,1
low,green,26,leaf,female,0.1986,1
low,green,25,leaf,male,0.2109,1
low,green,25,leaf,female,0.2206,1
low,green,25,off-leaf,male,0.1686,1
low,green,26,off-leaf,male,0.1723,1
low,green,30,leaf,male,0.1664,1
low,green,30,leaf,male,0.1688,1
low,green,30,leaf,female,0.1418,1
low,green,30,leaf,male,0.1602,1
low,green,30,off-leaf,male,0.1628,1
low,green,30,off-leaf,male,0.1329,1
low,green,30,leaf,female,0.1309,1
low,green,33,off-leaf,female,0.2283,1
low,green,33,leaf,female,0.2073,1
low,green,25,leaf,male,0.1704,1
low,green,25,leaf,male,0.1863,1
low,green,25,leaf,female,0.2076,1
low,green,25,off-leaf,male,0.1837,1
low,green,32,off-leaf,female,0.1656,1
low,green,32,off-leaf,male,0.1612,1
low,green,32,off-leaf,female,0.1136,1
low,green,32,leaf,female,0.1838,1
low,green,32,leaf,female,0.1703,1
low,green,32,leaf,male,0.1632,1
low,green,32,leaf,male,0.1736,1
low,green,32,leaf,male,0.1195,1
low,green,32,leaf,male,0.1497,1
low,green,32,leaf,female,0.1459,1
low,green,32,leaf,female,0.2067,1
low,green,32,leaf,female,0.148,1
low,green,32,off-leaf,male,0.1564,1
low,green,39,leaf,male,0.132,1
low,green,39,leaf,female,0.2158,1
low,green,39,off-leaf,female,0.1316,1
low,green,34,leaf,female,0.1898,1
low,green,34,leaf,male,0.1354,1
low,green,34,leaf,male,0.1535,1
low,green,34,leaf,male,0.1867,1
low,green,34,leaf,female,0.1464,1
low,green,35,leaf,female,0.1892,1
low,green,35,leaf,female,0.2322,1
low,green,35,leaf,female,0.2105,1
low,green,29,leaf,female,0.2042,1
low,green,29,off-leaf,female,0.1801,1
low,brown,20,off-leaf,female,0.2035,0
low,brown,24,off-leaf,female,0.2019,0
low,brown,26,off-leaf,female,0.1874,0
low,brown,26,off-leaf,male,0.1167,0
low,brown,26,off-leaf,female,0.1782,0
low,brown,21,off-leaf,male,0.189,0
low,brown,23,off-leaf,male,0.1951,0
low,brown,25,off-leaf,male,0.1151,0
low,brown,25,off-leaf,male,0.1413,0
low,brown,26,off-leaf,female,0.2079,0
high,green,19,leaf,male,0.1959,1
high,green,19,off-leaf,male,0.1637,1
high,green,19,off-leaf,male,0.1572,1
high,green,19,leaf,male,0.1442,1
high,green,17,leaf,female,0.1984,1
high,green,17,leaf,male,0.1905,1
high,green,23,off-leaf,male,0.1673,1
high,green,23,off-leaf,male,0.1628,1
high,green,23,off-leaf,male,0.1764,1
high,green,23,leaf,male,0.1664,1
high,green,23,leaf,male,0.1814,1
high,green,23,off-leaf,male,0.1819,1
high,green,19,off-leaf,male,0.2341,1
high,green,19,leaf,male,0.1697,1
high,green,19,leaf,male,0.2003,1
high,green,19,leaf,male,0.1845,1
high,green,19,leaf,female,0.2189,1
high,green,19,leaf,male,0.1681,1
high,green,23,leaf,female,0.2356,1
high,green,23,leaf,male,0.1556,1
high,green,23,off-leaf,female,0.2218,1
high,green,23,off-leaf,male,0.1879,1
high,green,19,leaf,female,0.1674,1
high,green,23,off-leaf,female,0.2194,1
high,green,23,off-leaf,female,0.174,1
high,green,23,leaf,male,0.1756,1
high,green,23,off-leaf,female,0.2049,1
high,green,21,leaf,female,0.2358,1
high,green,21,off-leaf,female,0.2393,1
high,green,21,off-leaf,male,0.1932,1
high,green,21,off-leaf,female,0.1861,1
high,green,21,off-leaf,male,0.1805,1
high,green,21,off-leaf,male,0.1717,1
high,green,24,off-leaf,male,0.1917,1
high,green,24,leaf,male,0.1871,1
high,green,24,leaf,female,0.1804,1
high,green,24,off-leaf,male,0.1394,1
high,green,24,leaf,male,0.1698,1
high,green,24,leaf,male,0.1566,1
high,green,24,leaf,female,0.2088,1
high,green,24,leaf,female,0.1693,1
high,green,24,leaf,male,0.1523,1
high,green,20,off-leaf,female,0.2291,1
high,green,20,leaf,male,0.1749,1
high,green,20,leaf,female,0.2184,1
high,green,20,leaf,male,0.1871,1
high,green,18,leaf,female,0.1698,1
high,green,26,leaf,male,0.1878,1
high,green,26,leaf,male,0.1927,1
high,green,26,leaf,male,0.1963,1
high,green,26,leaf,male,0.1982,1
high,green,26,leaf,male,0.1494,1
high,green,26,leaf,male,0.1743,1
high,green,28,off-leaf,female,0.1788,1
high,green,28,leaf,male,0.1648,1
high,green,28,off-leaf,female,0.2153,1
high,green,28,leaf,female,0.1853,1
high,green,28,leaf,male,0.1862,1
high,green,28,leaf,female,0.2309,1
high,green,28,leaf,female,0.11,1
high,green,28,off-leaf,male,0.1338,1
high,green,28,leaf,male,0.1639,1
high,green,28,leaf,female,0.2021,1
high,green,28,leaf,female,0.2036,1
high,green,28,leaf,female,0.1826,1
high,green,28,leaf,female,0.2064,1
high,green,28,leaf,female,0.2358,1
high,green,30,off-leaf,male,0.1476,1
high,green,30,leaf,female,0.191,1
high,green,30,leaf,female,0.131,1
high,green,24,off-leaf,female,0.1901,1
high,green,24,off-leaf,male,0.2169,1
high,green,24,leaf,male,0.2287,1
high,green,24,leaf,male,0.2041,1
high,green,24,leaf,male,0.1791,1
high,green,24,leaf,male,0.1904,1
high,green,24,leaf,male,0.1517,1
high,green,24,leaf,female,0.1961,1
high,green,24,leaf,male,0.1646,1
high,green,24,leaf,female,0.2442,1
high,green,24,leaf,male,0.2092,1
high,green,30,leaf,female,0.2281,1
high,green,30,leaf,male,0.1644,1
high,green,30,leaf,male,0.164,1
high,green,30,leaf,female,0.2021,1
high,green,30,leaf,female,0.2203,1
high,green,30,leaf,female,0.2134,1
high,green,30,leaf,male,0.2068,1
high,green,27,leaf,female,0.2219,1
high,green,27,leaf,male,0.1925,1
high,green,27,leaf,female,0.2092,1
high,green,27,leaf,male,0.1319,1
high,green,27,leaf,male,0.1976,1
high,green,27,leaf,male,0.197,1
high,green,27,leaf,female,0.1656,1
high,green,27,leaf,female,0.1492,1
high,green,27,off-leaf,female,0.1905,1
high,green,19,leaf,female,0.1928,1
high,green,27,leaf,male,0.1378,1
