diet,female,jar,length
pr,9,26,0.833
pr,9,26,0.630
pr,9,26,0.662
pr,9,26,0.431
pr,9,26,0.686
pr,9,26,0.684
pr,9,26,0.622
pr,9,27,0.476
pr,9,27,0.922
pr,9,27,0.746
pr,9,27,0.364
pr,9,27,0.716
pr,9,27,0.798
pr,9,27,0.847
pr,9,27,0.677
pr,9,27,0.929
pr,9,27,0.570
